population	sample_class	members	generated_events	denominator_status	physical_role_status	included_in_complete_event_inventory	physical_weight_application_authorized
hard_qcd_background	background	261	2510000	frozen_in_prior_qcd_denominator_checkpoint	secondary_direct_qcd_closure_projection	True	False
bundle_backed_non_qcd_background	background	232	2220000	frozen_exact_campaign_denominators_this_checkpoint	ordinary_mc_pending_cross_section_registry	True	False
legacy_ttbar_parquet_background	background	27	270000	unresolved	blocked_pending_recovery_or_formal_exclusion	True	False
bundle_backed_signal	signal	110	200000	frozen_exact_campaign_denominators_this_checkpoint	ordinary_mc_pending_cross_section_registry	True	False
