sample,group,region,path,n_generated,candidate_rows_total,rows_in_region,region_xsec_pb,expected_events_450fb,rel_mc_stat_unc
Zbbbb_100k,background,all_candidates,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_merged_hh4b_candidates.parquet,100000,3469,3469,0.23981169248,107915.261616,0.016978442574375578
Zbbbb_100k,background,rhh_lt_30,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_merged_hh4b_candidates.parquet,100000,3469,826,0.05710131392000001,25695.591264000002,0.03479445003196105
Zbbbb_100k,background,rhh_lt_55,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_merged_hh4b_candidates.parquet,100000,3469,2158,0.14918236736,67132.065312,0.021526542445480877
Zbbbb_100k,background,mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_merged_hh4b_candidates.parquet,100000,3469,1258,0.08696543936000001,39134.447712,0.028194193721730047
Zbbbb_100k,background,mhh_gt_600,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_merged_hh4b_candidates.parquet,100000,3469,371,0.02564720032,11541.240144,0.0519174131651165
Zbbbb_100k,background,mhh_gt_800,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_merged_hh4b_candidates.parquet,100000,3469,105,0.007258641600000001,3266.3887200000004,0.09759000729485333
Zbbbb_100k,background,rhh_lt_30_and_mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_merged_hh4b_candidates.parquet,100000,3469,91,0.00629082272,2830.8702240000002,0.10482848367219183
Zbbbb_100k,background,rhh_lt_55_and_mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/zbbbb_presel_100k_merged_hh4b_candidates.parquet,100000,3469,355,0.0245411216,11043.50472,0.053074489243427524
qcd_bbbb_iht100to200_20000,background,all_candidates,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht100to200_20000_hh4b_candidates.parquet,20000,315,315,3.2482786445617675,1461725.3900527954,0.0563436169819011
qcd_bbbb_iht100to200_20000,background,rhh_lt_30,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht100to200_20000_hh4b_candidates.parquet,20000,315,71,0.7321516944885255,329468.2625198365,0.11867816581938533
qcd_bbbb_iht100to200_20000,background,rhh_lt_55,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht100to200_20000_hh4b_candidates.parquet,20000,315,217,2.2377030662536623,1006966.3798141481,0.06788442333021306
qcd_bbbb_iht100to200_20000,background,mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht100to200_20000_hh4b_candidates.parquet,20000,315,46,0.4743518020629883,213458.31092834476,0.14744195615489714
qcd_bbbb_iht100to200_20000,background,mhh_gt_600,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht100to200_20000_hh4b_candidates.parquet,20000,315,4,0.04124798278808594,18561.592254638672,0.5
qcd_bbbb_iht100to200_20000,background,mhh_gt_800,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht100to200_20000_hh4b_candidates.parquet,20000,315,0,0.0,0.0,
qcd_bbbb_iht100to200_20000,background,rhh_lt_30_and_mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht100to200_20000_hh4b_candidates.parquet,20000,315,0,0.0,0.0,
qcd_bbbb_iht100to200_20000,background,rhh_lt_55_and_mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht100to200_20000_hh4b_candidates.parquet,20000,315,10,0.10311995697021485,46403.98063659668,0.31622776601683794
qcd_bbbb_iht200to400_combined120k,background,all_candidates,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_combined120k_merged_hh4b_candidates.parquet,120000,8248,8248,8.684612306722006,3908075.5380249023,0.011010972395482764
qcd_bbbb_iht200to400_combined120k,background,rhh_lt_30,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_combined120k_merged_hh4b_candidates.parquet,120000,8248,2145,2.2585467262268066,1016346.026802063,0.021591675854376522
qcd_bbbb_iht200to400_combined120k,background,rhh_lt_55,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_combined120k_merged_hh4b_candidates.parquet,120000,8248,4846,5.102525610860189,2296136.524887085,0.014365088141937361
qcd_bbbb_iht200to400_combined120k,background,mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_combined120k_merged_hh4b_candidates.parquet,120000,8248,3354,3.5315457901000977,1589195.605545044,0.017267062892749267
qcd_bbbb_iht200to400_combined120k,background,mhh_gt_600,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_combined120k_merged_hh4b_candidates.parquet,120000,8248,790,0.8318190739949545,374318.5832977295,0.035578403348241
qcd_bbbb_iht200to400_combined120k,background,mhh_gt_800,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_combined120k_merged_hh4b_candidates.parquet,120000,8248,157,0.1653108792622884,74389.89566802979,0.07980868844676221
qcd_bbbb_iht200to400_combined120k,background,rhh_lt_30_and_mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_combined120k_merged_hh4b_candidates.parquet,120000,8248,312,0.3285158874511719,147832.14935302734,0.05661385170722978
qcd_bbbb_iht200to400_combined120k,background,rhh_lt_55_and_mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht200to400_combined120k_merged_hh4b_candidates.parquet,120000,8248,989,1.0413532457987467,468608.960609436,0.03179815003744467
qcd_bbbb_iht400to600_20000,background,all_candidates,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht400to600_20000_hh4b_candidates.parquet,20000,2903,2903,1.4188219534397122,638469.8790478705,0.01855993633210361
qcd_bbbb_iht400to600_20000,background,rhh_lt_30,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht400to600_20000_hh4b_candidates.parquet,20000,2903,248,0.12120835151672361,54543.75818252563,0.06350006350009525
qcd_bbbb_iht400to600_20000,background,rhh_lt_55,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht400to600_20000_hh4b_candidates.parquet,20000,2903,776,0.3792648418426513,170669.1788291931,0.03589790793088691
qcd_bbbb_iht400to600_20000,background,mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht400to600_20000_hh4b_candidates.parquet,20000,2903,2704,1.3215620262145993,594702.9117965697,0.019230769230769232
qcd_bbbb_iht400to600_20000,background,mhh_gt_600,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht400to600_20000_hh4b_candidates.parquet,20000,2903,1332,0.6510061460494994,292952.7657222747,0.02739983121755955
qcd_bbbb_iht400to600_20000,background,mhh_gt_800,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht400to600_20000_hh4b_candidates.parquet,20000,2903,483,0.23606303944587703,106228.36775064467,0.045501575519329006
qcd_bbbb_iht400to600_20000,background,rhh_lt_30_and_mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht400to600_20000_hh4b_candidates.parquet,20000,2903,203,0.09921490063667296,44646.70528650283,0.07018624063435965
qcd_bbbb_iht400to600_20000,background,rhh_lt_55_and_mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht400to600_20000_hh4b_candidates.parquet,20000,2903,655,0.3201268961429595,144057.1032643318,0.03907323325822818
qcd_bbbb_iht600plus_20000,background,all_candidates,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht600plus_20000_hh4b_candidates.parquet,20000,3686,3686,0.3294708356022835,148261.8760210276,0.01647108978476456
qcd_bbbb_iht600plus_20000,background,rhh_lt_30,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht600plus_20000_hh4b_candidates.parquet,20000,3686,182,0.016267957699298858,7320.580964684486,0.07412493166611012
qcd_bbbb_iht600plus_20000,background,rhh_lt_55,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht600plus_20000_hh4b_candidates.parquet,20000,3686,500,0.044692191481590274,20111.486166715622,0.044721359549995794
qcd_bbbb_iht600plus_20000,background,mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht600plus_20000_hh4b_candidates.parquet,20000,3686,3637,0.32509100083708764,146290.95037668943,0.016581673118850265
qcd_bbbb_iht600plus_20000,background,mhh_gt_600,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht600plus_20000_hh4b_candidates.parquet,20000,3686,3281,0.2932701605021954,131971.57222598794,0.01745809630188319
qcd_bbbb_iht600plus_20000,background,mhh_gt_800,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht600plus_20000_hh4b_candidates.parquet,20000,3686,2085,0.18636643847823145,83864.89731520416,0.02190014399392014
qcd_bbbb_iht600plus_20000,background,rhh_lt_30_and_mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht600plus_20000_hh4b_candidates.parquet,20000,3686,173,0.015463498252630235,6958.574213683606,0.07602859212697055
qcd_bbbb_iht600plus_20000,background,rhh_lt_55_and_mhh_gt_400,/uscms_data/d3/iturkmen/hh4b_delphes/parquet/qcd_bbbb_iht600plus_20000_hh4b_candidates.parquet,20000,3686,469,0.041921275609731676,18864.574024379253,0.04617570965396102
