region,xsec_pb_background,xsec_pb_signal,expected_events_450fb_background,expected_events_450fb_signal,rows_in_region_background,rows_in_region_signal,S_over_B,S_over_sqrtB,S_over_10pctB
all_candidates,16.115299205795676,0.0007169928,7251884.642608055,322.64676,12541.0,1335.0,4.449143579922748e-05,0.11981242676938296,0.00044491435799227474
mhh_gt_400,7.065140403209783,0.0002075783,3179313.1814444023,93.410235,8642.0,583.0,2.9380633384963523e-05,0.05238751634634236,0.00029380633384963525
mhh_gt_600,2.3162998382010405,6.84736e-05,1042334.9271904683,30.81312,5283.0,233.0,2.9561630524129456e-05,0.030180889130966036,0.00029561630524129454
mhh_gt_800,0.7249305633717648,2.4564900000000003e-05,326218.7535172941,11.054205,2753.0,96.0,3.388586609694704e-05,0.0193541031938502,0.0003388586609694704
rhh_lt_30,3.666374995572546,0.0003744967,1649868.7480076456,168.523515,1872.0,677.0,0.00010214358881790217,0.13120059688243635,0.0010214358881790217
rhh_lt_30_and_mhh_gt_400,0.608529973715016,8.09575e-05,273838.48817175726,36.430875,578.0,242.0,0.00013303781817970668,0.06961813071591065,0.0013303781817970667
rhh_lt_55,8.770166858875161,0.000596004,3946575.086493822,268.2018,4852.0,1056.0,6.795811409185001e-05,0.13500551293943347,0.0006795811409185001
rhh_lt_55_and_mhh_gt_400,1.7957272770563044,0.0001243379,808077.274675337,55.952055,1777.0,370.0,6.924097082482611e-05,0.06224286792753099,0.000692409708248261
