region,sample,group,rows_in_region,region_xsec_pb,expected_events_450fb
all_candidates,VBF_HH4b_SMnorm,signal,694,4.0737799999999995e-05,18.332009999999997
all_candidates,Zbbbb_100k,background,3469,0.23981169248,107915.261616
all_candidates,ggF_HH4b_SMnorm,signal,641,0.0006762550000000001,304.31475
all_candidates,qcd_bbbb_iht100to200_20000,background,315,3.2482786445617675,1461725.3900527954
all_candidates,qcd_bbbb_iht200to400_20000,background,1415,8.95020210647583,4027590.9479141235
all_candidates,qcd_bbbb_iht400to600_20000,background,2903,1.4188219534397122,638469.8790478705
all_candidates,qcd_bbbb_iht600plus_20000,background,3686,0.3294708356022835,148261.8760210276
all_candidates,ttbar_200k,background,753,1.928713973236084,867921.2879562378
mhh_gt_400,VBF_HH4b_SMnorm,signal,409,2.40083e-05,10.803735
mhh_gt_400,Zbbbb_100k,background,1258,0.08696543936000001,39134.447712
mhh_gt_400,ggF_HH4b_SMnorm,signal,174,0.00018357,82.6065
mhh_gt_400,qcd_bbbb_iht100to200_20000,background,46,0.4743518020629883,213458.31092834476
mhh_gt_400,qcd_bbbb_iht200to400_20000,background,612,3.8710414764404297,1741968.6643981934
mhh_gt_400,qcd_bbbb_iht400to600_20000,background,2704,1.3215620262145993,594702.9117965697
mhh_gt_400,qcd_bbbb_iht600plus_20000,background,3637,0.32509100083708764,146290.95037668943
mhh_gt_400,ttbar_200k,background,385,0.9861286582946778,443757.896232605
mhh_gt_600,VBF_HH4b_SMnorm,signal,178,1.0448599999999999e-05,4.7018699999999995
mhh_gt_600,Zbbbb_100k,background,371,0.02564720032,11541.240144
mhh_gt_600,ggF_HH4b_SMnorm,signal,55,5.8025e-05,26.111250000000002
mhh_gt_600,qcd_bbbb_iht100to200_20000,background,4,0.04124798278808594,18561.592254638672
mhh_gt_600,qcd_bbbb_iht200to400_20000,background,146,0.9234837509155274,415567.6879119873
mhh_gt_600,qcd_bbbb_iht400to600_20000,background,1332,0.6510061460494994,292952.7657222747
mhh_gt_600,qcd_bbbb_iht600plus_20000,background,3281,0.2932701605021954,131971.57222598794
mhh_gt_600,ttbar_200k,background,149,0.38164459762573244,171740.0689315796
mhh_gt_800,VBF_HH4b_SMnorm,signal,77,4.5199e-06,2.0339549999999997
mhh_gt_800,Zbbbb_100k,background,105,0.007258641600000001,3266.3887200000004
mhh_gt_800,ggF_HH4b_SMnorm,signal,19,2.0045000000000002e-05,9.02025
mhh_gt_800,qcd_bbbb_iht100to200_20000,background,0,0.0,0.0
mhh_gt_800,qcd_bbbb_iht200to400_20000,background,24,0.15180554809570312,68312.4966430664
mhh_gt_800,qcd_bbbb_iht400to600_20000,background,483,0.23606303944587703,106228.36775064467
mhh_gt_800,qcd_bbbb_iht600plus_20000,background,2085,0.18636643847823145,83864.89731520416
mhh_gt_800,ttbar_200k,background,56,0.14343689575195315,64546.60308837891
rhh_lt_30,VBF_HH4b_SMnorm,signal,341,2.0016699999999998e-05,9.007515
rhh_lt_30,Zbbbb_100k,background,826,0.05710131392000001,25695.591264000002
rhh_lt_30,ggF_HH4b_SMnorm,signal,336,0.00035448,159.516
rhh_lt_30,qcd_bbbb_iht100to200_20000,background,71,0.7321516944885255,329468.2625198365
rhh_lt_30,qcd_bbbb_iht200to400_20000,background,357,2.258107527923584,1016148.3875656127
rhh_lt_30,qcd_bbbb_iht400to600_20000,background,248,0.12120835151672361,54543.75818252563
rhh_lt_30,qcd_bbbb_iht600plus_20000,background,182,0.016267957699298858,7320.580964684486
rhh_lt_30,ttbar_200k,background,188,0.4815381500244141,216692.16751098633
rhh_lt_30_and_mhh_gt_400,VBF_HH4b_SMnorm,signal,175,1.0272499999999999e-05,4.622624999999999
rhh_lt_30_and_mhh_gt_400,Zbbbb_100k,background,91,0.00629082272,2830.8702240000002
rhh_lt_30_and_mhh_gt_400,ggF_HH4b_SMnorm,signal,67,7.0685e-05,31.80825
rhh_lt_30_and_mhh_gt_400,qcd_bbbb_iht100to200_20000,background,0,0.0,0.0
rhh_lt_30_and_mhh_gt_400,qcd_bbbb_iht200to400_20000,background,54,0.341562483215332,153703.1174468994
rhh_lt_30_and_mhh_gt_400,qcd_bbbb_iht400to600_20000,background,203,0.09921490063667296,44646.70528650283
rhh_lt_30_and_mhh_gt_400,qcd_bbbb_iht600plus_20000,background,173,0.015463498252630235,6958.574213683606
rhh_lt_30_and_mhh_gt_400,ttbar_200k,background,57,0.14599826889038087,65699.22100067139
