sample,file,collection,radius_used_for_matching,event,jet_rank,jet_pt,jet_eta,jet_mass,n_constituents_dR,sum_const_pt,sum_const_pt_over_jet_pt,lead_const_pt_frac
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,0,0,84.68185424804688,1.1286102533340454,9.35926342010498,13,82.13465976715088,0.9699204215175208,0.27342338497601487
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,0,1,46.92302322387695,1.8705228567123413,9.679899215698242,16,44.57383733987808,0.949935325505551,0.15282057665967225
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,1,0,151.19302368164062,0.6369014382362366,9.150724411010742,10,148.44457459449768,0.9818215879263701,0.46730636695969946
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,1,1,126.23490142822266,-2.480984687805176,11.592652320861816,15,124.16341197490692,0.9835902002546135,0.2616350793980746
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,1,2,114.33719635009766,-0.3921964466571808,7.635436058044434,8,111.54428422451019,0.9755730224743693,0.6555408402109958
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,1,3,73.29113006591797,-0.6644073128700256,10.786709785461426,14,70.54705893993378,0.9625593011935254,0.16944120886956185
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,1,4,37.285743713378906,-0.8952773213386536,8.209766387939453,11,35.16938644647598,0.9432395050727249,0.17248580142002976
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,2,0,62.3970947265625,2.075502395629883,9.78869915008545,16,60.253546833992004,0.9656466715002681,0.3135775137308405
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,2,1,59.51521301269531,1.9912290573120117,11.810221672058105,19,57.77952262759209,0.9708361896523334,0.1910516428105538
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,2,2,40.88829040527344,2.430518627166748,6.423398971557617,16,38.93406146764755,0.9522056579461722,0.14705374364625923
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,2,3,24.16032600402832,2.111834764480591,3.4585728645324707,11,24.023104935884476,0.9943203966651375,0.24506708744158087
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,2,4,24.0701847076416,0.5337849855422974,4.133065223693848,5,21.45821261405945,0.8914851661793469,0.5629144430328628
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,2,5,23.78793716430664,1.7473798990249634,3.850954055786133,9,36.49186611175537,1.534049205683574,0.489695003161547
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,3,0,91.47865295410156,0.29067978262901306,12.430404663085938,16,88.96042096614838,0.9724719165987645,0.2088946167383129
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,3,1,76.31483459472656,-0.4151182174682617,14.402604103088379,24,73.81670129299164,0.9672654299127899,0.17034808169785115
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,3,2,60.127593994140625,-1.5382143259048462,11.50941276550293,20,57.58017933368683,0.9576331848451805,0.15816576338789906
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,3,3,30.16214942932129,-1.4101482629776,5.318963527679443,7,27.020934760570526,0.895855742107785,0.2827945526389287
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,3,4,28.141420364379883,0.3472101390361786,4.594112396240234,11,25.462724685668945,0.90481306046295,0.21745281071980024
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,3,5,27.084535598754883,-1.892878532409668,2.8870229721069336,7,24.773864030838013,0.9146866831261786,0.2523026925539171
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,4,0,57.46818923950195,1.2254470586776733,5.984768390655518,15,56.008978605270386,0.9746083763288552,0.2928997520388789
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,4,1,51.145652770996094,0.7909236550331116,8.400798797607422,14,48.775280475616455,0.9536544717496725,0.12855326815270007
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,4,2,49.21897506713867,1.109338402748108,8.22841739654541,15,46.75070056319237,0.9498511600337192,0.19635282629576103
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,4,3,44.603633880615234,1.4676728248596191,7.660837173461914,13,42.38434040546417,0.9502441105787219,0.3239785909103191
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,4,4,34.98505783081055,0.20085152983665466,5.578802108764648,10,32.294578433036804,0.923096328415833,0.1920383625706161
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,5,0,141.0186004638672,1.6446170806884766,20.84159278869629,30,139.47211116552353,0.9890334374808952,0.33088758141621977
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,5,1,72.65518188476562,1.3487037420272827,5.7268385887146,11,70.16231936216354,0.9656891296954445,0.28069222325194
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,5,2,38.950191497802734,1.4671015739440918,8.231717109680176,9,36.786376655101776,0.9444466186302827,0.25092201256695634
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,5,3,28.57832145690918,0.6305578947067261,5.942032337188721,12,26.045990586280823,0.9113897968274084,0.19467820448483122
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,6,0,166.0701446533203,1.436306357383728,11.985116004943848,14,163.65147519111633,0.9854358562325993,0.1949647274583264
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,6,1,136.8112335205078,1.5814077854156494,15.619412422180176,20,134.37764871120453,0.9822120980369752,0.3721812141823011
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,6,2,96.37052917480469,0.8278484344482422,11.888802528381348,16,93.8218966126442,0.9735538179152511,0.2620914425847805
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,6,3,43.613914489746094,1.8173818588256836,8.615747451782227,15,41.50321590900421,0.9516049268808898,0.2618637076422649
ttbar_ak4ak8_smoke10k,ttbar_10k_ak4ak8_delphes.root,Jet,0.4,6,4,26.589675903320312,1.1730895042419434,5.738409042358398,12,24.335198789834976,0.9152123131668628,0.18727782671086868
