row_type,model_label,target_epsilon_sm,s_450,b_qcd_450_central,z_a_450_central,b_qcd_450_95up,z_a_450_using_b_qcd_95up_mcstat,yang_li_reference_s,yang_li_reference_b,yang_li_reference_z_a,b_max_for_yangli_z,b_qcd_central_over_b_max,b_qcd_95up_over_b_max,remaining_background_budget_central,remaining_background_budget_95up,positive_b95_headroom,interpretation_label
EXTERNAL_REFERENCE,Yang-Li,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,20.5,32.700000000000003,3.2837638591231246,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,EXTERNAL_REFERENCE_NOT_OUR_MODEL
MODEL_DIAGNOSTIC,Step2j BDT-K,0.50,600.77465925750005,85877571.907350197,0.06482928339533113,85918799.208188102,0.064813727714079061,20.5,32.700000000000003,3.2837638591231246,33272.163014566046,2581.0636918842429,2582.3027847806034,-85844299.744335636,-85885527.045173541,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,Step2j BDT-KF,0.50,600.77465925750005,4591166.8792930022,0.28037584486773748,4600708.1955457432,0.28008497372789409,20.5,32.700000000000003,3.2837638591231246,33272.163014566046,137.98822989906185,138.27499563318511,-4557894.7162784366,-4567436.0325311776,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,SPA-Net 2M primary checkpoint,0.50,600.77465925750005,3950858.9389998564,0.30224201626061542,3959710.7730900371,0.30190401712802734,20.5,32.700000000000003,3.2837638591231246,33272.163014566046,118.74367582505022,119.00971906625175,-3917586.7759852903,-3926438.610075471,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,SPA-Net 10M primary checkpoint,0.50,600.77465925750005,4220784.3637376064,0.29241841655429479,4229933.1983720418,0.29210202750314312,20.5,32.700000000000003,3.2837638591231246,33272.163014566046,126.85632616941109,127.1312958078572,-4187512.2007230404,-4196661.0353574762,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,Step2j BDT-K,0.40,480.62161898408993,57931286.596385978,0.063146039161058945,57965149.788670212,0.063127591585995541,20.5,32.700000000000003,3.2837638591231246,21262.525796625763,2724.5721957256524,2726.1648189449315,-57910024.070589349,-57943887.26287359,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,Step2j BDT-KF,0.40,480.62398345670243,2390301.1697442164,0.31085980729350376,2397188.8772925497,0.31041292795539555,20.5,32.700000000000003,3.2837638591231246,21262.7357862524,112.41738569171731,112.74131896246729,-2369038.4339579642,-2375926.1415062975,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,SPA-Net 2M primary checkpoint,0.40,480.62161898408993,1985716.4510705562,0.34105715669924147,1991995.2612255297,0.34051926616415135,20.5,32.700000000000003,3.2837638591231246,21262.525796625763,93.390431130514031,93.685730485587356,-1964453.9252739304,-1970732.735428904,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,SPA-Net 10M primary checkpoint,0.40,480.62161898408993,2147566.4233726109,0.32795465642046884,2154095.6465778346,0.327457288824544,20.5,32.700000000000003,3.2837638591231246,21262.525796625763,101.00241353797286,101.30949009452475,-2126303.8975759852,-2132833.1207812089,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,Step2j BDT-K,0.30,360.46621423806749,36362812.878610432,0.059777137206293185,36389643.98731935,0.059755095532083947,20.5,32.700000000000003,3.2837638591231246,11930.392625481276,3047.9141818807948,3050.1631530212426,-36350882.485984951,-36377713.594693869,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,Step2j BDT-KF,0.30,360.46621423806749,1109224.6780428223,0.34224040736679334,1113920.3417021327,0.34151837667607399,20.5,32.700000000000003,3.2837638591231246,11930.392625481276,92.974700235238558,93.368288594542108,-1097294.2854173409,-1101989.9490766514,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,SPA-Net 2M primary checkpoint,0.30,360.46621423806749,867359.97488863347,0.38702123949819839,871513.58749548229,0.38609799850076454,20.5,32.700000000000003,3.2837638591231246,11930.392625481276,72.701712518337501,73.049866408761645,-855429.58226315223,-859583.19487000105,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,SPA-Net 10M primary checkpoint,0.30,360.46621423806749,959328.66087081481,0.36800495091100843,963696.34225263237,0.36717016882190051,20.5,32.700000000000003,3.2837638591231246,11930.392625481276,80.41048530304468,80.776582339322346,-947398.26824533357,-951765.94962715113,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,Step2j BDT-K,0.20,240.31080949204497,19735599.732756145,0.054093771328702939,19755369.493300207,0.054066698075171275,20.5,32.700000000000003,3.2837638591231246,5276.0258323835678,3740.618480603634,3744.3655738082803,-19730323.70692376,-19750093.467467822,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,Step2j BDT-KF,0.20,240.31317396465741,432864.77888346027,0.36522565575826338,435802.44067974231,0.36399284274517701,20.5,32.700000000000003,3.2837638591231246,5276.1304334076849,82.042092087531401,82.598875478950461,-427588.6484500526,-430526.31024633464,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,SPA-Net 2M primary checkpoint,0.20,240.31080949204497,301122.68867653399,0.43786861473652045,303574.77528012358,0.43609708348371251,20.5,32.700000000000003,3.2837638591231246,5276.0258323835678,57.073770721189739,57.538530879970423,-295846.66284415044,-298298.74944774003,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
MODEL_DIAGNOSTIC,SPA-Net 10M primary checkpoint,0.20,240.31317396465741,334769.23394165828,0.41529132871732205,337354.06193420774,0.41369765435605765,20.5,32.700000000000003,3.2837638591231246,5276.1304334076849,63.449764589205103,63.939674386768615,-329493.10350825061,-332077.93150080007,FALSE,DIAGNOSTIC_ONLY_NOT_DEMONSTRATED_IMPROVEMENT
