production_row_index	source_uid	generated_events	broad_eligible_rows	assignment_matchable_rows	transport_class	output_sha256	status
15	48a560034fc93461d1a27171::background::374::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	10000	8085	0	not_applicable_auxiliary_qcd	c30274e542a4c8b700018317873c456edbb9749f30cb9ff4206bc503013d13f5	pass
16	80c6a6c15054fb3b01ee2a95::background::376::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard007_10k_bundle.tar.gz	10000	8013	0	not_applicable_auxiliary_qcd	f7044caccdc107499cbbf28b4db26b23e2f0da3a69a2ca2684713b1cf4991340	pass
17	852a26fa10837984b6514fd7::background::369::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard011_10k_bundle.tar.gz	10000	7906	0	not_applicable_auxiliary_qcd	661a715815381edab94fe97faca08d1a38dc7913cb22ea52cf1292ec874faf3b	pass
18	8b599686a633844f7ef32be4::background::377::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard008_10k_bundle.tar.gz	10000	7921	0	not_applicable_auxiliary_qcd	a6952ec2c1350321a84642c9cd0a6bbc18c0f8be330740aea3a12b4bff78b0c3	pass
19	971534c289c8c141e6703131::background::366::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	10000	7987	0	not_applicable_auxiliary_qcd	e42ef6fc3ff0a679bf12e96e7e028f0fc72bdd435242ff61f2c7d93b3f0b907d	pass
20	9cacc87dca5502e5a629cb02::background::368::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	10000	8033	0	not_applicable_auxiliary_qcd	6cf4edc050af9fee4f59d29f11fa7381245d29d39a55c1b632a96b8231a69599	pass
21	bd8b7f9e133dbca1fd322312::background::371::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard013_10k_bundle.tar.gz	10000	8033	0	not_applicable_auxiliary_qcd	96fcc7d2329504f14e7f872415d09f9fe42f28b181204636ed3491c0343bd002	pass
22	fabd00856f2405973059615f::background::370::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard012_10k_bundle.tar.gz	10000	8012	0	not_applicable_auxiliary_qcd	e2d42e618d21d57d937b801ab04e24551d98514e7d5a0da64a053addc40bdf0c	pass
23	2b75740d79c95d2ed01426b1::background::1::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	10000	3114	0	signed_exact_event_sidecar	97b1ad306d3c77e7eb04b050524ee5fc845c0a01d32ffe40997f04036fab4c81	pass
24	44496f1095922dfadc459546::background::2::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	10000	3180	0	uniform_member_constant	c3a1e58f0144754c5fa0990a0cff65c186f23721c45b7bbce6db38e21c809a7f	pass
25	6b17060f283655da93e0921e::background::0::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	10000	3154	0	uniform_member_constant	0c2422e81b87502df35c681c075924cee7763e8fe25bc46eeb8a5efff01d1873	pass
26	5581eba7ecceab1d7eb22b19::background::11::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz	10000	785	0	uniform_member_constant	f787289c5a09cccbe4ed9dbbac8b028c749c66850c6fdd7a93bdb664e1122f13	pass
27	6aeca1df086a5ba7b74a5ebf::background::6::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	10000	761	0	uniform_member_constant	ce4fa2e577e41aab8fb4b9a46f4c7286c4a87833a8917f0d34d5f89ba762a281	pass
28	7dcf83e3d7a9fbe6d951f885::background::8::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	10000	746	0	uniform_member_constant	f951b4dbc9ad1ed65730fab4096359f7309ec9fce10b7acadea12fbeb28278ad	pass
