sample_class	process_or_mode	campaign	members	generated_events	candidate_rows_metadata	train_members	validation_members	final_evaluation_members	energy_tag_inferred_from_path	source_locator_example	generator_artifacts_recovered	sum_generator_weights_recovered	cross_section_provenance_resolved	status
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	7	1	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	7	70000	17	5	1	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4301_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	ttbar_inclusive	parquet	27	270000	1020	22	5	0	unresolved	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard000_hh4b_candidates.parquet	False	False	False	requires_generator_artifact_recovery
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	36	1	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	74	740000	2403	58	15	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	1189	1	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	3672	1	1	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	1853	1	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/tttt_run2_frozen_v2_waveb_pilot_shard1003_10000evt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	5913	2	0	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	48	1	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/ttw_run2_frozen_v2_wavec1_pilot_shard3202_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	300	3	1	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ttw_run2_frozen_v2_wavec1_scaleout_shard3401_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	1104	0	0	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_pilot_shard1002_10000evt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	3169	3	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	18	1	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_pilot_shard4205_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	6	60000	90	3	2	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_antitop_run2_frozen_v2_single_top_scaleout_shard4323_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	19	0	0	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tw_top_run2_frozen_v2_single_top_pilot_shard4204_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	6	60000	60	5	1	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tw_top_run2_frozen_v2_single_top_scaleout_shard4317_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	6	0	1	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/vbf_hbb_run2_frozen_v2_waveb_pilot_shard1004_10000evt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	4	40000	24	3	0	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/vbf_hbb_run2_frozen_v2_waveb_scale400k_shard2302_10000evt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	5	0	0	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/wh_hbb_run2_frozen_v2_wavec1_pilot_shard3201_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	33	4	1	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/wh_hbb_run2_frozen_v2_wavec1_scaleout_shard3301_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	0	0	1	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/ww_run2_frozen_v2_wavec1_pilot_shard3204_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	3	30000	0	2	0	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ww_run2_frozen_v2_wavec1_scaleout_shard3601_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	5200	14	0	0	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wwz_zbb_run2_frozen_v2_pilot_validation_shard9601_5200_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	20800	33	4	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wwz_zbb_run2_frozen_v2_train_shard9901_5200_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	2	1	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/wz_zbb_run2_frozen_v2_wavec1_pilot_shard3203_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	5	3	1	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/wz_zbb_run2_frozen_v2_wavec1_scaleout_shard3501_10kevt_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	3300	13	0	0	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/wzz_zbb_run2_frozen_v2_pilot_validation_shard9602_3300_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	13200	68	4	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/wzz_zbb_run2_frozen_v2_train_shard9911_3300_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	314	1	0	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/zbbbb_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	9	90000	2631	6	2	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	15	150000	4339	12	3	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_zbbbb_remaining15_20260721_v1/zbbbb_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	1500	15	0	1	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_pilot10k_20260722_v1/zzz_zbb_run2_frozen_v2_pilot_validation_shard9603_1500_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	6000	58	3	0	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/final_background_triboson_zbb_scaleout40k_20260722_v1/zzz_zbb_run2_frozen_v2_train_shard9921_1500_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	20	20000	1289	14	3	3	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	80	80000	4823	66	14	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	1	10000	581	0	1	0	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_pilot10k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	9	90000	5702	7	1	1	run2_13tev	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_scaleout90k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_train_shard9401_10k_bundle.tar.gz	False	False	False	requires_generator_artifact_recovery
