population,score_f32,score_f32_exact_decimal,score_f32_hex_be,k_round,u,raw_count
signal,1.0,1,3f800000,0,inf,128
signal,0.9999998807907104,0.99999988079071044922,3f7ffffe,2,6.923689900271567,80
signal,0.9999997615814209,0.99999976158142089844,3f7ffffc,4,6.622659904607587,53
signal,0.9999996423721313,0.99999964237213134766,3f7ffffa,6,6.446568645551905,35
signal,0.9999995231628418,0.99999952316284179688,3f7ffff8,8,6.321629908943605,39
signal,0.9999994039535522,0.99999940395355224609,3f7ffff6,10,6.224719895935548,50
signal,0.9999992847442627,0.99999928474426269531,3f7ffff4,12,6.145538649887924,47
signal,0.9999991655349731,0.99999916553497314453,3f7ffff2,14,6.078591860257311,51
signal,0.9999990463256836,0.99999904632568359375,3f7ffff0,16,6.020599913279624,40
signal,0.999998927116394,0.99999892711639404297,3f7fffee,18,5.969447390832243,38
signal,0.9999988079071045,0.99999880790710449219,3f7fffec,20,5.923689900271567,34
signal,0.9999986886978149,0.99999868869781494141,3f7fffea,22,5.882297215113343,39
signal,0.9999985694885254,0.99999856948852539062,3f7fffe8,24,5.844508654223943,41
signal,0.9999984502792358,0.99999845027923583984,3f7fffe6,26,5.809746547964731,46
signal,0.9999983310699463,0.99999833106994628906,3f7fffe4,28,5.77756186459333,48
signal,0.9999982118606567,0.99999821186065673828,3f7fffe2,30,5.747598641215887,38
signal,0.9999980926513672,0.9999980926513671875,3f7fffe0,32,5.719569917615643,39
signal,0.9999979734420776,0.99999797344207763672,3f7fffde,34,5.693240978893294,39
signal,0.9999978542327881,0.99999785423278808594,3f7fffdc,36,5.6684173951682615,44
signal,0.9999977350234985,0.99999773502349853516,3f7fffda,38,5.644936299318738,34
signal,0.999997615814209,0.99999761581420898438,3f7fffd8,40,5.622659904607587,45
signal,0.9999974966049194,0.99999749660491943359,3f7fffd6,42,5.601470605537648,27
signal,0.9999973773956299,0.99999737739562988281,3f7fffd4,44,5.581267219449361,46
signal,0.9999972581863403,0.99999725818634033203,3f7fffd2,46,5.561962064253975,42
signal,0.9999971389770508,0.99999713897705078125,3f7fffd0,48,5.543478658559962,43
signal,0.9999970197677612,0.99999701976776123047,3f7fffce,50,5.52574989159953,50
signal,0.9999969005584717,0.99999690055847167969,3f7fffcc,52,5.50871655230075,40
