row_index_in_production_2M_val_h5,process_label,score_2M_f32,u_2M
175199,signal,0.9999985694885254,5.844509
175229,signal,0.999997615814209,5.622660
175252,signal,0.9999994039535522,6.224720
175514,signal,0.9999984502792358,5.809747
175669,signal,0.9999983310699463,5.777562
175769,signal,0.9999974966049194,5.601471
176031,signal,0.9999986886978149,5.882297
176227,signal,0.9999979734420776,5.693241
176246,signal,0.999997615814209,5.622660
176719,signal,0.9999997615814209,6.622660
176884,signal,0.9999985694885254,5.844509
177105,signal,0.9999996423721313,6.446569
177613,signal,0.9999977350234985,5.644936
177792,signal,0.9999997615814209,6.622660
177889,signal,0.9999978542327881,5.668417
178069,signal,0.9999992847442627,6.145539
178184,signal,0.9999983310699463,5.777562
178199,signal,0.9999978542327881,5.668417
178215,signal,0.9999992847442627,6.145539
178221,signal,0.9999996423721313,6.446569
178335,signal,0.9999991655349731,6.078592
178424,signal,0.999997615814209,5.622660
178813,signal,0.9999984502792358,5.809747
179163,signal,1.0,inf
180002,signal,0.9999969005584717,5.508717
180005,signal,0.9999972581863403,5.561962
180025,signal,0.9999983310699463,5.777562
180037,signal,0.9999998807907104,6.923690
180046,signal,0.9999971389770508,5.543479
180144,signal,0.9999983310699463,5.777562
180253,signal,1.0,inf
180414,signal,0.9999984502792358,5.809747
180481,signal,0.9999998807907104,6.923690
180547,signal,0.9999995231628418,6.321630
180613,signal,0.9999994039535522,6.224720
180841,signal,0.9999988079071045,5.923690
181023,signal,0.999998927116394,5.969447
181246,signal,0.9999980926513672,5.719570
181295,signal,0.9999970197677612,5.525750
181476,signal,0.9999977350234985,5.644936
181667,signal,0.9999992847442627,6.145539
181685,signal,0.9999972581863403,5.561962
181746,signal,0.999997615814209,5.622660
182032,signal,0.9999998807907104,6.923690
182193,signal,0.9999991655349731,6.078592
182383,signal,0.9999980926513672,5.719570
182793,signal,0.9999983310699463,5.777562
183025,signal,0.9999977350234985,5.644936
183283,signal,1.0,inf
184150,signal,0.9999978542327881,5.668417
184385,signal,0.9999972581863403,5.561962
184688,signal,0.9999980926513672,5.719570
184754,signal,0.9999985694885254,5.844509
184858,signal,0.9999991655349731,6.078592
184928,signal,0.9999977350234985,5.644936
185285,signal,0.9999972581863403,5.561962
185489,signal,0.9999984502792358,5.809747
185820,signal,0.9999998807907104,6.923690
185865,signal,0.9999973773956299,5.581267
185876,signal,0.9999984502792358,5.809747
186247,signal,0.9999982118606567,5.747599
186356,signal,0.9999991655349731,6.078592
186550,signal,0.999998927116394,5.969447
186720,signal,0.9999990463256836,6.020600
187200,signal,1.0,inf
187325,signal,0.9999994039535522,6.224720
187448,signal,0.9999978542327881,5.668417
187554,signal,0.9999972581863403,5.561962
187723,signal,0.9999969005584717,5.508717
187758,signal,1.0,inf
187942,signal,0.9999973773956299,5.581267
187962,signal,0.9999994039535522,6.224720
188048,signal,0.9999979734420776,5.693241
188097,signal,0.9999978542327881,5.668417
188134,signal,0.9999998807907104,6.923690
188499,signal,0.9999995231628418,6.321630
189060,signal,0.9999972581863403,5.561962
189266,signal,0.9999973773956299,5.581267
189362,signal,0.9999972581863403,5.561962
189570,signal,1.0,inf
189622,signal,0.9999990463256836,6.020600
189719,signal,0.9999972581863403,5.561962
189798,signal,0.9999978542327881,5.668417
189999,signal,0.9999986886978149,5.882297
190150,signal,0.9999983310699463,5.777562
190364,signal,1.0,inf
190616,signal,0.9999969005584717,5.508717
190724,signal,0.9999986886978149,5.882297
190885,signal,1.0,inf
190938,signal,0.999998927116394,5.969447
190966,signal,0.9999971389770508,5.543479
191076,signal,0.9999973773956299,5.581267
191181,signal,0.9999998807907104,6.923690
191496,signal,0.999998927116394,5.969447
191549,signal,0.9999980926513672,5.719570
191640,signal,0.9999988079071045,5.923690
191782,signal,0.9999982118606567,5.747599
191816,signal,0.9999985694885254,5.844509
191968,signal,0.9999990463256836,6.020600
192284,signal,0.9999969005584717,5.508717
192308,signal,0.9999984502792358,5.809747
192325,signal,0.9999984502792358,5.809747
192644,signal,1.0,inf
192893,signal,0.9999969005584717,5.508717
192982,signal,0.9999990463256836,6.020600
193153,signal,0.9999998807907104,6.923690
193636,signal,0.9999986886978149,5.882297
193758,signal,0.9999990463256836,6.020600
193831,signal,0.9999977350234985,5.644936
193872,signal,1.0,inf
194026,signal,0.9999998807907104,6.923690
194116,signal,0.9999978542327881,5.668417
194160,signal,0.9999971389770508,5.543479
194184,signal,0.9999985694885254,5.844509
194276,signal,0.9999969005584717,5.508717
194767,signal,0.9999969005584717,5.508717
194982,signal,0.9999997615814209,6.622660
195088,signal,0.9999978542327881,5.668417
195129,signal,0.9999986886978149,5.882297
195205,signal,0.9999982118606567,5.747599
195239,signal,0.9999972581863403,5.561962
195493,signal,1.0,inf
195502,signal,0.9999991655349731,6.078592
195538,signal,0.9999983310699463,5.777562
196154,signal,0.9999995231628418,6.321630
196412,signal,0.9999992847442627,6.145539
196483,signal,0.9999984502792358,5.809747
196573,signal,0.9999986886978149,5.882297
196591,signal,0.9999996423721313,6.446569
196644,signal,1.0,inf
196656,signal,0.9999995231628418,6.321630
196670,signal,0.9999994039535522,6.224720
196722,signal,0.9999973773956299,5.581267
196794,signal,0.9999971389770508,5.543479
196836,signal,1.0,inf
197087,signal,1.0,inf
197426,signal,0.9999974966049194,5.601471
197503,signal,0.9999971389770508,5.543479
197843,signal,0.9999998807907104,6.923690
198075,signal,0.9999996423721313,6.446569
198153,signal,0.9999994039535522,6.224720
198159,signal,0.9999979734420776,5.693241
198260,signal,0.9999994039535522,6.224720
198560,signal,0.9999997615814209,6.622660
198744,signal,1.0,inf
199242,signal,0.9999992847442627,6.145539
199292,signal,0.9999982118606567,5.747599
199439,signal,0.9999984502792358,5.809747
199801,signal,0.9999972581863403,5.561962
200137,signal,0.9999973773956299,5.581267
200242,signal,0.9999973773956299,5.581267
200714,signal,0.9999997615814209,6.622660
200959,signal,0.9999998807907104,6.923690
201054,signal,0.9999998807907104,6.923690
201061,signal,0.9999998807907104,6.923690
201109,signal,0.9999990463256836,6.020600
201166,signal,0.9999978542327881,5.668417
201262,signal,0.9999998807907104,6.923690
201327,signal,1.0,inf
201334,signal,0.999998927116394,5.969447
201394,signal,0.9999982118606567,5.747599
201719,signal,0.9999996423721313,6.446569
202227,signal,0.9999979734420776,5.693241
202954,signal,0.9999982118606567,5.747599
203144,signal,0.9999992847442627,6.145539
203239,signal,0.9999969005584717,5.508717
203299,signal,0.9999974966049194,5.601471
203605,signal,0.9999990463256836,6.020600
203607,signal,0.9999977350234985,5.644936
203612,signal,0.9999978542327881,5.668417
203727,signal,0.9999982118606567,5.747599
204183,signal,0.9999974966049194,5.601471
204230,signal,0.9999979734420776,5.693241
204464,signal,0.9999971389770508,5.543479
204529,signal,0.9999998807907104,6.923690
204674,signal,0.9999988079071045,5.923690
