k,one_minus_score_exact,score_f64,score_f32,score_f32_hex_be,u_k
1,5.9604644775390625e-08,0.99999994039535522,0.99999994,3f7fffff,7.224720
2,1.1920928955078125e-07,0.99999988079071045,0.999999881,3f7ffffe,6.923690
3,1.7881393432617188e-07,0.99999982118606567,0.999999821,3f7ffffd,6.747599
4,2.384185791015625e-07,0.9999997615814209,0.999999762,3f7ffffc,6.622660
5,2.9802322387695312e-07,0.99999970197677612,0.999999702,3f7ffffb,6.525750
6,3.5762786865234375e-07,0.99999964237213135,0.999999642,3f7ffffa,6.446569
7,4.1723251342773438e-07,0.99999958276748657,0.999999583,3f7ffff9,6.379622
8,4.76837158203125e-07,0.9999995231628418,0.999999523,3f7ffff8,6.321630
9,5.3644180297851562e-07,0.99999946355819702,0.999999464,3f7ffff7,6.270477
10,5.9604644775390625e-07,0.99999940395355225,0.999999404,3f7ffff6,6.224720
11,6.5565109252929688e-07,0.99999934434890747,0.999999344,3f7ffff5,6.183327
12,7.152557373046875e-07,0.9999992847442627,0.999999285,3f7ffff4,6.145539
13,7.7486038208007812e-07,0.99999922513961792,0.999999225,3f7ffff3,6.110777
14,8.3446502685546875e-07,0.99999916553497314,0.999999166,3f7ffff2,6.078592
15,8.9406967163085938e-07,0.99999910593032837,0.999999106,3f7ffff1,6.048629
16,9.5367431640625e-07,0.99999904632568359,0.999999046,3f7ffff0,6.020600
17,1.0132789611816406e-06,0.99999898672103882,0.999998987,3f7fffef,5.994271
18,1.0728836059570312e-06,0.99999892711639404,0.999998927,3f7fffee,5.969447
19,1.1324882507324219e-06,0.99999886751174927,0.999998868,3f7fffed,5.945966
20,1.1920928955078125e-06,0.99999880790710449,0.999998808,3f7fffec,5.923690
21,1.2516975402832031e-06,0.99999874830245972,0.999998748,3f7fffeb,5.902501
22,1.3113021850585938e-06,0.99999868869781494,0.999998689,3f7fffea,5.882297
23,1.3709068298339844e-06,0.99999862909317017,0.999998629,3f7fffe9,5.862992
24,1.430511474609375e-06,0.99999856948852539,0.999998569,3f7fffe8,5.844509
25,1.4901161193847656e-06,0.99999850988388062,0.99999851,3f7fffe7,5.826780
26,1.5497207641601562e-06,0.99999845027923584,0.99999845,3f7fffe6,5.809747
27,1.6093254089355469e-06,0.99999839067459106,0.999998391,3f7fffe5,5.793356
28,1.6689300537109375e-06,0.99999833106994629,0.999998331,3f7fffe4,5.777562
29,1.7285346984863281e-06,0.99999827146530151,0.999998271,3f7fffe3,5.762322
30,1.7881393432617188e-06,0.99999821186065674,0.999998212,3f7fffe2,5.747599
31,1.8477439880371094e-06,0.99999815225601196,0.999998152,3f7fffe1,5.733358
32,1.9073486328125e-06,0.99999809265136719,0.999998093,3f7fffe0,5.719570
