pilot_id	replica	outer_fold	category_id	structure_id	role	continuous_cut_count	runtime_seconds	max_rss_kb	canonical_payload_sha256	inner_crossfit_sha256	pooled_inner_oof_feasible	all_inner_support_pass	pooled_support_pass
0	0	0	exact3tag	radial_mass__category__mass_only	one_cut_lower_complexity_sentinel	1	31.230830907821655	390976	f6ead7ca6c6810a9b8bee665d496838e09b462a02f157abfcc8805ce8e7d5e58	19b9989061c686295b75bf61f90ec02d1f2a9490360d4deb3874e6bcf81805a6	True	True	True
1	0	1	exact3tag	radial_mass__category__plus_ht_candidate_jets	frozen_nominal_exact3tag_family	2	52.642637491226196	394832	6b2be2bfba5870060bdbbe7ddee9f97b1693c5717442c03cde6571e5ce8412d8	28480f58026a2e9d077423f04c6a5cf23662e4e635e339f7dc7829015f1642cf	True	True	True
2	0	2	exact3tag	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	four_cut_high_complexity_sentinel	4	93.08614468574524	391564	bdf59a064d36418743efe034ddbe43932274bfcf4d5f40d3f86a58d9462b9f9c	6e08e8da03e495a1bf3333fbc82bfe9501691532c4034b39f282d462adf43eaa	False	True	True
3	1	3	ge4tag	radial_mass__category__mass_only	one_cut_lower_complexity_sentinel	1	7.673909902572632	231244	a42632e793a6f91faa76d1f20cf45ff26fb3c061cb6a8e87a3bbd16a5710b710	6266c2bbdb9c6a2a8ad5487a5c9f6ec2a1a4f5fb2f0139dcdb7d753fb83bf12c	False	True	True
4	1	4	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	frozen_nominal_ge4tag_family	3	18.893850326538086	235172	7ecc1a307df49025efe6a757b18b4742314a18e37146d76dad75e7a392c5759b	ae3e300441819d0408216e12f24b6ec44d8aa51491f6c64b1208f4fb5682bbf6	False	True	True
5	1	0	ge4tag	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	four_cut_high_complexity_sentinel	4	17.81448793411255	232244	c36959e87f7edb9f96ce69d2d49b1a327b070ffb0425771d09db22506b5203ec	8774c5d1e9a3a4fffe40e323f7f7af05169a3417525b0d6f647f417f1a40acc7	False	True	True
