sample_group	status	remote_path	tree_entries	branch_count	schema_sha256	missing_input_branches	gen_weight_length_counts	selected_valid_events	preprocessing_failure_count	ensemble_mean_signal_probability	ensemble_mean_qcd_probability	ensemble_mean_ttbar_probability	ensemble_signal_probability_gt_0p9_fraction
ZZ_ntuple	response_canary_complete	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZZ_ntuple/selected_ntuples_0001.root	122974	98	a23d1e371f5012c7ab2d1a89b9d3c7227f2e9f43164e63369a237c5a5223eadb		"{""2"": 256}"	256	0	0.07321082463797299	0.04536529957189698	0.8814238776855253	0.02734375
QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	response_canary_complete	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid380.root	113269	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2		"{""1"": 256}"	256	0	0.08771216675113253	0.907215943484213	0.005071891765740319	0.015625
QCD_DelphesHH4JTrig_forInfer_merged_ntuple	response_canary_complete	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid96.root	155616	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2		"{""1"": 256}"	256	0	0.07549394282265956	0.9061014832273031	0.018404575492869318	0.015625
SingleTop_ntuple	response_canary_complete	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/SingleTop_ntuple/selected_ntuples_0009.root	155074	98	a23d1e371f5012c7ab2d1a89b9d3c7227f2e9f43164e63369a237c5a5223eadb		"{""2"": 256}"	256	0	0.04879783124391184	0.09283479791958968	0.8583673725284295	0.00390625
TTbar_forInfer2_ntuple	response_canary_complete	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer2_ntuple/selected_ntuples_0059.root	102994	98	a23d1e371f5012c7ab2d1a89b9d3c7227f2e9f43164e63369a237c5a5223eadb		"{""2"": 256}"	256	0	0.14002657231775917	0.14594296292410958	0.7140304704411923	0.01953125
TTbar_forInfer_ntuple	response_canary_complete	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0059.root	11229	98	a23d1e371f5012c7ab2d1a89b9d3c7227f2e9f43164e63369a237c5a5223eadb		"{""2"": 256}"	256	0	0.049409395692885265	0.049697982625612626	0.9008926260191098	0.00390625
TTbarW_ntuple	response_canary_complete	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbarW_ntuple/selected_ntuples_0001.root	85264	98	a23d1e371f5012c7ab2d1a89b9d3c7227f2e9f43164e63369a237c5a5223eadb		"{""2"": 256}"	256	0	0.08060534400498758	0.04859986562228709	0.8707947940555034	0.0234375
TTbarZ_ntuple	response_canary_complete	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbarZ_ntuple/selected_ntuples_0001.root	139140	98	a23d1e371f5012c7ab2d1a89b9d3c7227f2e9f43164e63369a237c5a5223eadb		"{""2"": 256}"	256	0	0.12201664295552207	0.06764190981331401	0.810341450376048	0.04296875
ttH_ntuple	response_canary_complete	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ttH_ntuple/selected_ntuples_0000.root	150964	98	a23d1e371f5012c7ab2d1a89b9d3c7227f2e9f43164e63369a237c5a5223eadb		"{""2"": 256}"	256	0	0.23273021141910055	0.05307763160428105	0.7141921575214856	0.09375
ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	response_canary_complete	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id2500-2999.root	251497	96	97f48fd87af56ed545a3ca84a4292f635b8a768ef852b9cad2600773db6fe651		"{""2"": 256}"	256	0	0.2504628440897111	0.7156938981186917	0.03384325421100861	0.08203125
