sample_group	root_file_count	total_bytes	minimum_file_bytes	maximum_file_bytes
QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	381	369798594729	698774117	979108885
QCD_DelphesHH4JTrig_forInfer_merged_ntuple	176	170790133436	959882466	976842505
SingleHiggs_ntuple	7	6022760605	102267108	987760408
SingleTop_ntuple	10	11919256263	944879011	1220121702
TTbarW_ntuple	2	2005568374	599288170	1406280204
TTbarZ_ntuple	2	2543241522	1043812732	1499428790
TTbar_forInfer2_ntuple	60	94237625120	815574995	1584993400
TTbar_forInfer_ntuple	60	80071984019	76307845	1358224557
TW_ntuple	3	3682240616	1012690616	1335252823
VBFH_ntuple	1	685799527	685799527	685799527
WW_ntuple	1	476601734	476601734	476601734
WminusH_ntuple	1	395004306	395004306	395004306
WplusH_ntuple	1	369458509	369458509	369458509
ZH_ntuple	1	293471345	293471345	293471345
ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	8	14064846455	1749925223	1763435733
ZW_ntuple	1	971051797	971051797	971051797
ZZ_ntuple	2	1812956845	690055895	1122900950
ttH_ntuple	1	1205040432	1205040432	1205040432
