nominal_bin_index	pthat_min_GeV	pthat_max_GeV	interval_semantics	production_campaigns	production_shards	resolved_normalization_shards	unresolved_normalization_shards	generated_events	resolved_generated_events	sum_event_weights	sum_squared_event_weights	effective_events	event_count_weighted_sigma_gen_pb	between_shard_sigma_rms_pb	empirical_sigma_standard_error_pb	minimum_shard_sigma_gen_pb	maximum_shard_sigma_gen_pb	relative_between_shard_sigma_rms	partial_resolved_coefficient_sum_pb	variable_weight_shards	all_three_production_campaigns_present	bin_normalization_metadata_complete	coefficient_cross_section_closure_pass	denominator_and_stitching_authorized	physical_weight_application_authorized	status
0	50	75	[50,75)	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	135	3	132	1340375	30000	30000.188751064419	30000.382577310018	29999.994926071089	18269418.603642229	64839.770739043699	37435.259090380503	18211242.150058832	18359890.207585905	0.0035490878032712605	408902.40276733518	3	True	False	False	False	False	qcd_exclusive_bin_fail_closed
1	75	100	[75,100)	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	61	0	61	600197	0											0	True	False	False	False	False	qcd_exclusive_bin_fail_closed
2	100	200	[100,200)	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	39	0	39	379573	0											0	True	False	False	False	False	qcd_exclusive_bin_fail_closed
3	200	300	[200,300)	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	5	0	5	39075	0											0	True	False	False	False	False	qcd_exclusive_bin_fail_closed
4	300	500	[300,500)	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	5	0	5	35719	0											0	True	False	False	False	False	qcd_exclusive_bin_fail_closed
5	500	700	[500,700)	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	5	0	5	35053	0											0	True	False	False	False	False	qcd_exclusive_bin_fail_closed
6	700	1000	[700,1000)	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	5	0	5	35008	0											0	True	False	False	False	False	qcd_exclusive_bin_fail_closed
7	1000	Inf	[1000,infinity)	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,qcd_hardqcd_importance_adaptive500k_phys_20260717_0022,qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	5	0	5	35000	0											0	True	False	False	False	False	qcd_exclusive_bin_fail_closed
