sample_class	process_or_mode	campaign	remote_bundle_path	bundle_basename	source_tag	bin_index	pthat_min_GeV	pthat_max_GeV	shard_id	seed	exact_metadata_files	structured_metadata_rows	status
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020				20	86020	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard021_seed86021_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard021_seed86021_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard021_seed86021				21	86021	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard022_seed86022_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard022_seed86022_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard022_seed86022				22	86022	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard023_seed86023_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard023_seed86023_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard023_seed86023				23	86023	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard024_seed86024_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard024_seed86024_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard024_seed86024				24	86024	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard025_seed86025_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard025_seed86025_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard025_seed86025				25	86025	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard026_seed86026_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard026_seed86026_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard026_seed86026				26	86026	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard027_seed86027_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard027_seed86027_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard027_seed86027				27	86027	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard028_seed86028_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard028_seed86028_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard028_seed86028				28	86028	0	0	eos_bundle_identity_frozen
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard029_seed86029_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard029_seed86029_bundle.tar.gz	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard029_seed86029				29	86029	0	0	eos_bundle_identity_frozen
