run,category,yield_450fb,neff,mbb1_median,mbb2_median,avg_mbb_median,mhh_median,r_hh_median,avg_mbb_distance_from_125,mbb1_distance_from_125,mbb2_distance_from_125
mass_aware,CAT0_high_purity_diagnostic,19177.410982349116,9.865931669629171,119.84234412782104,112.14112585366492,115.53528140414689,395.35114147798,18.81837776513415,9.464718595853114,5.157655872178964,12.858874146335083
topology_only,CAT0_high_purity_diagnostic,2650.243344154901,4.143844668744437,102.87817657691598,109.09137135688218,106.67933256894943,309.23355360740385,32.05673209495634,18.320667431050566,22.121823423084024,15.908628643117822
mass_aware,CAT1_tight,107869.41763400758,48.08732528190167,119.82308754407352,114.513529092995,115.308281520047,313.01303929141955,19.09449061259112,9.691718479952996,5.176912455926484,10.486470907005
topology_only,CAT1_tight,68136.9880828752,29.881376523693024,118.07668013128072,104.85762209511186,108.94269712867128,268.7688720902868,37.13063489320317,16.057302871328716,6.923319868719275,20.142377904888136
mass_aware,CAT2_medium_tight,87839.44289327062,91.74327552643604,119.38464992163831,113.2155361386442,115.67440871378544,334.7656489506554,20.68241160420809,9.32559128621456,5.615350078361686,11.784463861355803
topology_only,CAT2_medium_tight,65602.75055036531,35.80312334001485,114.87546446774348,114.95441125101593,113.9198515999324,323.1854739235251,36.71176303940437,11.0801484000676,10.124535532256516,10.045588748984073
mass_aware,CAT3_medium,320385.0878731036,89.80741614070449,120.30007212621848,113.43571253345311,116.73652680520368,342.7401841171047,21.880219396358143,8.263473194796319,4.699927873781519,11.564287466546887
topology_only,CAT3_medium,261739.13616341384,94.5773778210291,117.846740630399,112.03582774881306,114.76890281881452,340.7585599008543,35.13348824239608,10.231097181185476,7.1532593696010025,12.964172251186938
mass_aware,CAT4_loose,810151.6369313165,203.7520546115393,118.25893192614942,114.00488824872708,114.98431955213309,327.51713156196047,27.89272812971284,10.015680447866913,6.741068073850585,10.995111751272916
topology_only,CAT4_loose,1065762.3654244156,287.22966088765065,121.29758405958955,116.50567811470036,118.58784851795,363.17703673033344,35.706642954396386,6.412151482050007,3.7024159404104466,8.494321885299641
