model	component	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json
bdt	transferred_qcd_fraction	0.8542372564148268	0.8502450906049723	0.8527430538727612	0.02922051866486526	0.8231346984694164	0.8791104923565684	0.7844354181638714	0.8967514541836349	1000	0	{}
single_head	transferred_qcd_fraction	0.8967551238873338	0.8945607558506207	0.8962331788651996	0.014905545453199614	0.8802611166527319	0.909540539007389	0.8621338417113923	0.9187272663503141	1000	0	{}
