model	metric	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	uncertainty_format	bootstrap_unit
bdt	nominal_asimov_ZA	0.0635540927813342	0.06418988716040389	0.06369841500355196	0.006154918061544391	0.05813163014270017	0.07027486739618811	0.05358386617160889	0.07814619599156145	1000	0	{}	median_asymmetric_p16_p84	source_member
bdt	systematic_aware_asimov_ZA	3.713309954838485e-05	3.873501309225888e-05	3.7762369760236686e-05	8.813149858524668e-06	3.0256697263772876e-05	4.714620447532851e-05	2.5371631905160384e-05	5.974012648688873e-05	865	135	"{""fewer than 3 direct-QCD source groups"":135}"	median_asymmetric_p16_p84	source_member
single_head	nominal_asimov_ZA	0.043766004276502825	0.04412193391670013	0.043902439215327424	0.003121849410969246	0.040980683841327345	0.0474077463334072	0.038691510302094605	0.05040037997778952	1000	0	{}	median_asymmetric_p16_p84	source_member
single_head	systematic_aware_asimov_ZA	1.66873241122834e-05	1.7171106195797506e-05	1.6922711394848782e-05	2.7065370820603938e-06	1.4480284466491612e-05	1.9887460562918564e-05	1.2849797569903642e-05	2.2821102025170265e-05	1000	0	{}	median_asymmetric_p16_p84	source_member
