outer_fold	inner_oof_operating_threshold	inner_matchable_assignment_accuracy	outer_matchable_assignment_accuracy
0	0.6202189326286316	0.8461886451029179	0.8464391691394659
1	0.6467375159263611	0.8400253592561285	0.8476374156219865
2	0.6268302798271179	0.8299273387829246	0.8542124542124542
3	0.644132673740387	0.8451531682752833	0.8524426719840479
4	0.6414658427238464	0.8466231853566168	0.8366141732283464
