model	weighting	background_efficiency	signal_efficiency_central	signal_efficiency_p16	signal_efficiency_p84	signal_efficiency_p2p5	signal_efficiency_p97p5	valid_replicas	support_pass
bdt	development_hierarchical	0.0	0.0022351309400117964	0.001864215497842399	0.0034697647777387724	0.0014018452397374648	0.007519811198238358	1000	True
bdt	development_hierarchical	0.01	0.11240611949856281	0.10862082626515827	0.15463637153208978	0.08619835957696685	0.17885851227990746	1000	True
bdt	development_hierarchical	0.02	0.1978919508668682	0.17446029984360475	0.2328891880985511	0.11762395419847572	0.25023800913264876	1000	True
bdt	development_hierarchical	0.03	0.25584435662952176	0.23866258744417956	0.2927314064757765	0.20058980802049162	0.31370338446684165	1000	True
bdt	development_hierarchical	0.04	0.31483077669016024	0.2927403919542312	0.33487320668703036	0.25181459360745434	0.3493803896594675	1000	True
bdt	development_hierarchical	0.05	0.34615414325034116	0.3310256437936697	0.3651434348619789	0.31208146127616804	0.38638266567239077	1000	True
bdt	development_hierarchical	0.06	0.3791026954198929	0.35532743776831777	0.4007949452067667	0.3367078600957346	0.41439677063216307	1000	True
bdt	development_hierarchical	0.07	0.4077775486974766	0.384940774044451	0.418113560357256	0.36487004244015475	0.4337170111985289	1000	True
bdt	development_hierarchical	0.08	0.4169619871506573	0.40691923513452943	0.4347446804088654	0.39126787918375905	0.4543201860504876	1000	True
bdt	development_hierarchical	0.09	0.4333312887905246	0.41802919604924793	0.45186981247829583	0.40634625495066784	0.4748046755072512	1000	True
bdt	development_hierarchical	0.1	0.4333312887905246	0.4297256163384653	0.4732560802611507	0.4177001339753488	0.49010299815299646	1000	True
bdt	development_hierarchical	0.11	0.46150285500950883	0.4332107456106226	0.48662085014266704	0.42524092167706357	0.5060887431334151	1000	True
bdt	development_hierarchical	0.12	0.47355696430025823	0.44499443807688926	0.5023143179979255	0.4283935506071399	0.5322788757135483	1000	True
bdt	development_hierarchical	0.13	0.4922318920402735	0.46633386753150974	0.5227517190751173	0.4315752930717927	0.546944245799438	1000	True
bdt	development_hierarchical	0.14	0.5059711651137935	0.47895436087403725	0.5417338994310895	0.4532906299407321	0.5628498580625292	1000	True
bdt	development_hierarchical	0.15	0.5323702947898309	0.4955499085081294	0.5562595306943525	0.46842925724851836	0.57921873233935	1000	True
bdt	development_hierarchical	0.16	0.5457206480604522	0.5148306382553722	0.5704859314953442	0.4833470300346047	0.5905597845746055	1000	True
bdt	development_hierarchical	0.17	0.5580427310189038	0.5356345942367251	0.5846240903498487	0.4995816660065504	0.6080036160835136	1000	True
bdt	development_hierarchical	0.18	0.5737826479759705	0.549712224135492	0.5979045139994787	0.5206799619729309	0.6204637521825782	1000	True
bdt	development_hierarchical	0.19	0.5828210119568701	0.5617795827332172	0.612779569963095	0.5370757013247147	0.6302315927587103	1000	True
bdt	development_hierarchical	0.2	0.5973804728812828	0.5756398891115185	0.6232568924790276	0.5510582043007678	0.6382984731035574	1000	True
bdt	development_hierarchical	0.21	0.6142573234720026	0.585336080225958	0.6332560740503332	0.5607396252797983	0.6506616789893589	1000	True
bdt	development_hierarchical	0.22	0.6218183427552512	0.5985643801219517	0.6441170540929608	0.5760201269208642	0.6628248813657693	1000	True
bdt	development_hierarchical	0.23	0.6295805565322301	0.6122382648783743	0.6558528251956812	0.5844167577619587	0.6714770365735645	1000	True
bdt	development_hierarchical	0.24	0.643168560924067	0.6222716086281985	0.6664251125076238	0.5982400708791884	0.6815906358093683	1000	True
bdt	development_hierarchical	0.25	0.6563574004674809	0.6309714989469205	0.6744392633762114	0.6120758776088495	0.692666083931227	1000	True
bdt	development_hierarchical	0.26	0.6638963247888952	0.6416404075126207	0.6853962443225148	0.6199598817853111	0.7028297676457436	1000	True
bdt	development_hierarchical	0.27	0.6737704070977539	0.653622923685383	0.6971761198379578	0.6293042841217986	0.7159297463870002	1000	True
bdt	development_hierarchical	0.28	0.6833279943725163	0.6629651511830567	0.7057912077648412	0.6407567015720806	0.7258173334744701	1000	True
bdt	development_hierarchical	0.29	0.6956208794408919	0.6715822429726388	0.7183502398651543	0.6526220794629314	0.733662396059884	1000	True
bdt	development_hierarchical	0.3	0.7043039372983326	0.6827462447266958	0.7266821528781761	0.6588568580682416	0.7419103803136563	1000	True
bdt	development_hierarchical	0.31	0.7166016388495144	0.6934071784088368	0.7327623981872704	0.6688977331614987	0.7508789764146367	1000	True
bdt	development_hierarchical	0.32	0.7260848864051875	0.702183164513394	0.7411975703680485	0.6781783030035065	0.759018689347064	1000	True
bdt	development_hierarchical	0.33	0.7260848864051875	0.7133900871443145	0.7502077440478088	0.6898563023349711	0.7667122009320299	1000	True
bdt	development_hierarchical	0.34	0.7379879376073162	0.7215804672363106	0.758647635710152	0.6979129102654943	0.7738201946148009	1000	True
bdt	development_hierarchical	0.35000000000000003	0.7449337885225698	0.7264570394825822	0.7637953706813243	0.7082707276179012	0.7822383027654092	1000	True
bdt	development_hierarchical	0.36	0.7575659171384792	0.7321554606829324	0.7698456387325797	0.7177542934497734	0.7926001071022932	1000	True
bdt	development_hierarchical	0.37	0.7621032127436566	0.7408902423394178	0.7773648741747451	0.7241665525998879	0.7985777897085019	1000	True
bdt	development_hierarchical	0.38	0.7652773997777061	0.749414398860778	0.78726133525501	0.7315388864413755	0.8040546186225076	1000	True
bdt	development_hierarchical	0.39	0.7738905032461816	0.7557372394354896	0.7950279275295621	0.740677560333535	0.8079273964332344	1000	True
bdt	development_hierarchical	0.4	0.7827441142260287	0.7620805950885853	0.799717147315663	0.7486484487431676	0.8129462694980293	1000	True
bdt	development_hierarchical	0.41000000000000003	0.7928906642514095	0.7681672701679849	0.8049301651277893	0.7549135132191919	0.8162155354479056	1000	True
