model	component	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json
bdt	selected_background_yield	572656.5629465745	576462.0342281384	566697.7196195757	107651.84749809992	468811.43014060816	681766.0024485774	385981.5085591165	803557.9082242335	1000	0	{}
bdt	ordinary_background_yield	83471.9917471468	83336.15956839448	83393.0574959309	2874.81814584835	80326.57006837439	86225.10546962009	77661.21741692617	88666.81018658075	1000	0	{}
bdt	transferred_qcd_yield	489184.5711994264	493125.8746597427	483350.63336660434	107657.51998103214	386441.6941586577	598409.262785394	302036.91336566006	715850.1186894568	1000	0	{}
single_head	selected_background_yield	1203760.220136993	1199673.8560446773	1190793.1194126885	160829.53746845905	1039734.240636295	1369428.392212117	910885.5736428217	1522890.2164914848	1000	0	{}
single_head	ordinary_background_yield	124282.07479739653	124194.66805126003	124201.27747119887	3603.3627272494546	120610.11297814456	127799.12071487078	117396.49001277813	131382.74116218888	1000	0	{}
single_head	transferred_qcd_yield	1079478.1453395935	1075479.187993414	1067485.997312284	160893.02686287055	916005.8476979504	1246347.387177008	785269.1383701102	1402005.9264137088	1000	0	{}
