model	weighting	background_efficiency	signal_efficiency_central	signal_efficiency_p16	signal_efficiency_p84	signal_efficiency_p2p5	signal_efficiency_p97p5	valid_replicas	support_pass
bdt	unweighted	0.0	0.0022491164185498556	0.0018450905864028028	0.003440179582718037	0.0014002928250608344	0.007476877024362608	1000	True
bdt	unweighted	0.01	0.1434079468780122	0.1294445659590181	0.15971375231737767	0.1154281394509282	0.1751529917501978	1000	True
bdt	unweighted	0.02	0.21484416836242903	0.19716361513287284	0.23539079024649023	0.17823213129482166	0.25309040236980745	1000	True
bdt	unweighted	0.03	0.2619685123701403	0.24284733612474613	0.2845659465476382	0.2284808331747811	0.309349691164045	1000	True
bdt	unweighted	0.04	0.3064153368319589	0.2821479743187694	0.3304636186915684	0.26242260796332756	0.3539182917284991	1000	True
bdt	unweighted	0.05	0.34250830031059226	0.31790949331646096	0.3660770044637921	0.2976653030658924	0.393656209190651	1000	True
bdt	unweighted	0.06	0.373353325479276	0.3483599811371941	0.3988981511094951	0.32794266155529644	0.4237695364898854	1000	True
bdt	unweighted	0.07	0.4020563350112456	0.37470563705324283	0.42704229616162265	0.3543419015154559	0.46135456080109943	1000	True
bdt	unweighted	0.08	0.4278676234336511	0.39980857776023254	0.4580651625522647	0.37717409463609153	0.48728901344015096	1000	True
bdt	unweighted	0.09	0.45657063296562067	0.42252866022835206	0.48217518422868566	0.40011328591604245	0.5101762828728643	1000	True
bdt	unweighted	0.1	0.47820499089643353	0.4506181664881829	0.5032189074549062	0.41895602200155047	0.5337238203528399	1000	True
bdt	unweighted	0.11	0.4971618292813538	0.4703049894332242	0.523039201163861	0.44568230695506883	0.5538318285631921	1000	True
bdt	unweighted	0.12	0.5155831637570955	0.4884893209333144	0.5440422523994738	0.4632877654794017	0.5753653067980977	1000	True
bdt	unweighted	0.13	0.5345400021420157	0.5043506792268603	0.5620239584718338	0.4806176673567978	0.5915186044574251	1000	True
bdt	unweighted	0.14	0.550498018635536	0.5205969610081618	0.5796032887350212	0.4956672552193298	0.6087865323406683	1000	True
bdt	unweighted	0.15	0.5690264538931135	0.5370823979655722	0.5948238268653103	0.5110233960651573	0.6253970846869996	1000	True
bdt	unweighted	0.16	0.5818785477133983	0.5512766261542952	0.6114063253379558	0.5264769614687177	0.6406026180333043	1000	True
bdt	unweighted	0.17	0.5952661454428617	0.5667616324134043	0.6274034386715441	0.5403962097802126	0.6559416690677288	1000	True
bdt	unweighted	0.18	0.6110099603727107	0.579665746514733	0.6411064233774927	0.5536705198305186	0.6712854531130512	1000	True
bdt	unweighted	0.19	0.6241833565385028	0.591533660497532	0.6538498560747041	0.5675594676435902	0.6849538644189723	1000	True
bdt	unweighted	0.2	0.6359644425404305	0.604085026837083	0.6684617077126965	0.5788788085468699	0.695390470981091	1000	True
bdt	unweighted	0.21	0.6503159473064153	0.6170690905888444	0.6807145474617556	0.5898623481671393	0.7081682856809673	1000	True
bdt	unweighted	0.22	0.6628467387811932	0.6292663009758019	0.6914176444841297	0.6023580725649099	0.720688105528843	1000	True
bdt	unweighted	0.23	0.675698832601478	0.6408524456323118	0.7034266946086063	0.6142125789610758	0.7307688782153836	1000	True
bdt	unweighted	0.24	0.6859805076577059	0.6523502628435327	0.7140380541160682	0.6251144579049854	0.7402732858730476	1000	True
bdt	unweighted	0.25	0.6942272678590554	0.664028464206311	0.7247272164436758	0.635947137401793	0.7506625094194721	1000	True
bdt	unweighted	0.26	0.7062225554246546	0.6743668156582229	0.7342801183690113	0.6468870676843715	0.7607093916246637	1000	True
bdt	unweighted	0.27	0.7150048195351826	0.6841808670146676	0.7435965847137143	0.6582454458265866	0.7717591214679747	1000	True
bdt	unweighted	0.28	0.7253935953732462	0.6934325088098726	0.7525714612270126	0.6686717375666644	0.7811517158233157	1000	True
bdt	unweighted	0.29	0.73353325479276	0.7028751630448756	0.7613134452665242	0.67879101206566	0.7909892122828963	1000	True
bdt	unweighted	0.3	0.7425297204669594	0.7115011058830387	0.7712744374006056	0.6861314483850688	0.8012543919056262	1000	True
