event_uid	dataset_track	sample_group	process_family	canary_lane	source_endpoint	remote_path	remote_size_bytes	remote_adler32	entry_index	sampling_mode	selection_seed	selection_rank_within_group	target_valid_events_per_file	scan_limit_per_file	preprocessing_valid	preprocessing_failure_code	particle_count	used_particle_count	was_truncated	adapter_name	adapter_version	model_id	model_checkpoint_sha256	preprocessing_contract_sha256	score_contract_sha256	runtime_environment_id	model0_signal_probability	model0_qcd_probability	model0_ttbar_probability	model1_signal_probability	model1_qcd_probability	model1_ttbar_probability	model2_signal_probability	model2_qcd_probability	model2_ttbar_probability	ensemble_signal_probability	ensemble_qcd_probability	ensemble_ttbar_probability	ensemble_overall_top1_class	ensemble_signal_grid_top1_class	model_overall_top1_agreement	model_signal_grid_top1_agreement	raw_gen_weight_payload_json	physical_weight_status	physical_event_weight
7fcdc8787d3dde2b2641e72314a5777f0f4f9291a0f4290a47e065f5ffa9aabc	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	10	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		116	116	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.07518321744757372	0.9247927069664001	2.4174887585104443e-05	0.044683780403147466	0.9553041458129883	1.2118439371988643e-05	0.10704919778606836	0.8929048776626587	4.605331560014747e-05	0.07563873187892985	0.924333910147349	2.744888085241352e-05	136	99	True	False	[1.0]	blocked_pending_author_clarification	
dac158f9da173df423cc812cf7166766c75b5929f4b7d5695fb77d7574adda19	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	11	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		132	132	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.029163950779093284	0.970784604549408	5.154332393431105e-05	0.016442562269730843	0.9835272431373596	3.0179782697814517e-05	0.010614102192903374	0.9893452525138855	4.056169564137235e-05	0.018740205080575834	0.9812190334002177	4.076160075783264e-05	136	79	True	False	[1.0]	blocked_pending_author_clarification	
3efdb2fe1e684bb4f8492ae68a85a26539feb6be147f0b9baa2f87ce95017329	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	12	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		122	122	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.25118727421522635	0.7339927554130554	0.014819938689470291	0.5104647476446189	0.48469534516334534	0.004839904606342316	0.3286570422337718	0.6603957414627075	0.010947161354124546	0.36343635469787233	0.6263612806797028	0.010202334883312384	136	9	True	False	[1.0]	blocked_pending_author_clarification	
f6665d9eb8c8a50ec6cfa6c2c7bfb75141a19545a64e264921b42bfe45c5e128	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	13	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		101	101	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.005644271774144727	0.9942973256111145	5.839839286636561e-05	0.004176582648142357	0.9958015084266663	2.1929119611741044e-05	0.0060970099482346996	0.9938576817512512	4.536376582109369e-05	0.005305954790173928	0.9946521719296774	4.1897092766400114e-05	136	25	True	False	[1.0]	blocked_pending_author_clarification	
caee289f0fc65b8c52c82a34f76fdfb8e929b9c2c54be2f1f1a49ef59f3a74cf	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	14	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		112	112	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.09902685564202329	0.8927910923957825	0.00818203017115593	0.14874828386700756	0.8480292558670044	0.003222469240427017	0.09192293074283953	0.9030132293701172	0.0050638774409890175	0.11323269008395678	0.881277859210968	0.005489458950857322	136	134	True	False	[1.0]	blocked_pending_author_clarification	
e07cbaeb5a232902f951ffe49c8f1ed8a01fc6da778b3e3e8aff4af20f8186e4	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	15	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		161	161	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.0009531245885661122	0.9964146614074707	0.0026322659105062485	0.00042396392838384145	0.9983086585998535	0.0012672656448557973	0.00045471000298746844	0.9989239573478699	0.0006213601445779204	0.0006105995066458074	0.9978824257850647	0.0015069638999799888	136	131	True	False	[1.0]	blocked_pending_author_clarification	
9477f4d9073aede452aaf1f75e561f19a077260c6e43dadb41746c81255748e3	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	16	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		97	97	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.0014301102766012264	0.9985631108283997	6.678334557363996e-06	0.0017398759891591453	0.9982520937919617	8.031708603084553e-06	0.0010201148734552135	0.9989751577377319	4.753609573526774e-06	0.0013967003797385285	0.9985967874526978	6.487884244658441e-06	136	46	True	False	[1.0]	blocked_pending_author_clarification	
a7322e70448ff9c8af0fb8888ad3cc48c79eb4692ad8557df297ec6543c120b6	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	17	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		86	86	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.13531581496499712	0.864342212677002	0.0003419266431592405	0.12392705861566355	0.8756689429283142	0.00040399644058197737	0.09895452317869058	0.9003559947013855	0.0006895681726746261	0.11939913225311709	0.8801223834355673	0.00047849708547194797	136	114	True	False	[1.0]	blocked_pending_author_clarification	
a250880d80c9ac8f51b90dcb66e6fb011d8cba5a77d8fdb50ff6e2fc066ac701	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	18	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		121	121	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.0017279254509503517	0.9931566119194031	0.0051153553649783134	0.011083970567597135	0.9867014288902283	0.002214511390775442	0.006200120117682673	0.9824956655502319	0.011304072104394436	0.006337338712076719	0.9874512354532877	0.0062113129533827305	136	30	True	True	[1.0]	blocked_pending_author_clarification	
00ccef9e60299c6234ee63e8c99d5e620114717692b1fb5c3b5f0097350c85b0	Track B	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	qcd	root://cceos.ihep.ac.cn:1094	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	19	high_score_tail_stability_v1	track_b_phase3_multifile_v1_20260806	3	64	2048	True		100	100	False	released_sophon_ensemble	40J7I_R1_v1	HH4b_released_three_model_ensemble	43c7fb9b0860c0f37953a1636b1f1b73fcc320da585d4a446cb45a31a14fdec0	ff90137a4c919f0a07d47cbfb21ead3688ee49856d98a0ff16bbbaa7058eb735	9b0412c8cce16f4684910207ed3b82a1bfb6b74891c554bba1f1c3b4f9347b86	1de0398cb1116200e1ead26886dfc0d6f1c15579dab82ad689c68690509dc449	0.0018696882740414367	0.9981145858764648	1.5722735042800196e-05	0.0026800837711107306	0.9972919821739197	2.7917469196836464e-05	0.0012378719792422999	0.9987433552742004	1.881654497992713e-05	0.0019292146747981556	0.9980499744415283	2.0818916406521264e-05	136	129	True	False	[1.0]	blocked_pending_author_clarification	
