canary_lane	sample_group	process_family	remote_path	remote_size_bytes	remote_adler32	tree_name	tree_entries	branch_count	schema_sha256	gen_weight_branch_present	scanned_entry_count	selected_valid_event_count	preprocessing_failure_count	truncated_event_count	ensemble_mean_signal_probability	ensemble_mean_qcd_probability	ensemble_mean_ttbar_probability	ensemble_signal_probability_gt_0p5_fraction	ensemble_signal_probability_gt_0p9_fraction	ensemble_signal_probability_gt_0p997_fraction	model_overall_top1_agreement_fraction	model_signal_grid_top1_agreement_fraction	physical_weights_used
qcd	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	tree	156285	87	b195d1b29676575a5f5260a5eb09787a0d717e166aa2528f865985be46b978e2	True	64	64	0	0	0.05708568404221398	0.9264699686318636	0.016444353956780823	0.03125	0.0	0.0	0.96875	0.203125	False
ttbar	TTbar_forInfer_ntuple	ttbar	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0037.root	1354590819	e98b74b9	tree	200000	98	a23d1e371f5012c7ab2d1a89b9d3c7227f2e9f43164e63369a237c5a5223eadb	True	64	64	0	0	0.0370047541100226	0.07961060036190365	0.8833846460717419	0.015625	0.0	0.0	0.953125	0.09375	False
zjets	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	zjets	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id2500-2999.root	1749925223	cc5209ec	tree	251497	96	97f48fd87af56ed545a3ca84a4292f635b8a768ef852b9cad2600773db6fe651	True	64	64	0	0	0.23727273373178592	0.7162563390714544	0.0464709180028547	0.21875	0.078125	0.0	0.90625	0.21875	False
zz	ZZ_ntuple	zz	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZZ_ntuple/selected_ntuples_0001.root	690055895	4cfd4cfc	tree	122974	98	a23d1e371f5012c7ab2d1a89b9d3c7227f2e9f43164e63369a237c5a5223eadb	True	64	64	0	0	0.1007281619277307	0.06596581986311222	0.833306021626451	0.109375	0.046875	0.0	0.953125	0.0625	False
