sample_class	process_or_mode	campaign	representative_locator	representative_size_bytes	source_type	content_index_required	event_payload_extraction_authorized	candidate_content_access_authorized	next_action
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz	864708870	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	856367444	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_pilot10k_20260722_v1/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_bundle.tar.gz	783232189	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	775236693	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	867076826	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	858006894	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	961579902	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	958106595	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz	1606628831	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1819_seed1201819_bundle.tar.gz	1618275041	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_bundle.tar.gz	1604481039	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_testfill_bin3_10k_20260717/qcd_hardqcd_importance_testfill_bin3_10k_20260717_bin03_pthat200to300_shard3909_seed1233909_bundle.tar.gz	1847704870	eos_bundle	True	False	False	stream_or_copy_one_representative_bundle_to_temporary_scratch_then_list_archive_members_only
