sample_class	process_or_mode	campaign	required_artifact_types	located_artifact_types	unresolved_artifact_types	located_required_count	required_count	sidecar_provenance_complete	physics_normalization_ready	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version	0	8	False	False	representative_bundle_content_index_required
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,importance_sampling_record,stitching_definition		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,importance_sampling_record,stitching_definition	0	10	False	False	representative_bundle_content_index_required
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,importance_sampling_record,stitching_definition		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,importance_sampling_record,stitching_definition	0	10	False	False	representative_bundle_content_index_required
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,importance_sampling_record,stitching_definition		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,importance_sampling_record,stitching_definition	0	10	False	False	representative_bundle_content_index_required
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,importance_sampling_record,stitching_definition		generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,importance_sampling_record,stitching_definition	0	10	False	False	representative_bundle_content_index_required
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,importance_sampling_record,stitching_definition	importance_sampling_record	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,stitching_definition	1	10	False	False	representative_bundle_content_index_required
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,importance_sampling_record,stitching_definition	importance_sampling_record	generator_banner_or_lhe_init,proc_card,run_card,param_card,generator_stdout_or_summary,sum_generator_weights_record,parton_shower_card,delphes_card_and_version,stitching_definition	1	10	False	False	representative_bundle_content_index_required
