sample_class	process_or_mode	campaign	search_root	artifact_path	bytes	artifact_types	event_payload	content_opened
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_pilot10k_20260722_v1.sub	1917		False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_pilot10k_20260722_v1_dryrun.classads	3066		False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_pilot10k_20260722_v1_dryrun.log	166		False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_pilot10k_20260722_v1_authorization.json	1218	manifest_or_submission_record	False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/bbh_hbb_4fs_pilot10k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/bbh_hbb_4fs_pilot10k_20260722_v1/receipts/bbh_hbb_4fs_3615069_0_receipt.json	1857	manifest_or_submission_record	False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_scaleout40k_20260722_v1_queue.tsv	324		False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_scaleout40k_20260722_v1.sub	2257		False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_submit/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_scaleout40k_20260722_v1_dryrun.classads	5602		False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/bbh_hbb_4fs_scaleout40k_20260722_v1/receipts/bbh_hbb_4fs_84919108_0_receipt.json	1860	manifest_or_submission_record	False	False
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/bbh_hbb_4fs_scaleout40k_20260722_v1	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/bbh_hbb_4fs_scaleout40k_20260722_v1/receipts/bbh_hbb_4fs_84919108_2_receipt.json	1859	manifest_or_submission_record	False	False
