ratio,value,interpretation
H→bb / H stable,0.661767209579479,MG5 effective BR(H→bb) in HEFT setup
ggF HH→4b / ggF HH stable,0.43655559945563904,Consistent with MG5 BR(H→bb)^2
VBF HHjj→4b / VBF HHjj stable,0.6796212228834404,Suspicious: closer to one BR than BR^2
0.662^2,0.4379358396746101,Expected HH→4b/stable HH ratio using MG5 BR
0.5824^2,0.33918976,Approx. official SM BR(H→bb)^2 reference used earlier
