sample,xsec_pb,xsec_fb
check_z_to_ee_sm,1388.7,1388700.0
check_ggf_h_stable_heft,17.621,17621.0
check_ggf_h_bb_heft,11.661,11661.0
check_ggf_hh_stable_heft,0.0022779,2.2779
check_ggf_hh_4b_heft,0.00099443,0.99443
check_vbf_hhjj_stable_sm,0.00139031419,1.39031419
check_vbf_hhjj_4b_sm,0.0009448870299999,0.94488703
