quantity,value,comparison
HEFT H→bb / H stable,0.661767209579479,effective MG5 HEFT BR(H→bb)
HEFT ggF HH→4b / HH stable,0.43655559945563904,should be close to HEFT BR(H→bb)^2
SM VBF HHjj→4b / HHjj stable,0.6796212228834404,should be checked against SM-card BR or LHE final states
HEFT BR(H→bb)^2 from single-H ratio,0.4379358396746101,explains ggF HH→4b ratio if close
official-reference 0.5824^2,0.33918976,modern SM BR(H→bb)^2 reference used earlier
