lumi_fb,threshold,S,B,S_over_B,S_over_sqrtB_stat,S_over_sqrtB_10pct_syst,signal_test_rows,background_test_rows
138,0.0,98.5001358,2188883.1244850657,4.500018054786371e-05,0.06657720251699596,0.0004499915265747032,202,6154
138,0.01,98.5001358,2185105.507633374,4.5077976992828465e-05,0.06663472709768442,0.0004507694554538416,202,6111
138,0.02,98.5001358,2170929.5809429637,4.5372331127026025e-05,0.06685193174153331,0.00045371286165363315,202,5996
138,0.03,97.43561592123712,2152060.334412868,4.527550383378067e-05,0.06641872177472818,0.0004527445195978566,199,5837
138,0.04,95.41350408371135,2131155.422825828,4.477078633579751e-05,0.06535853123259108,0.0004476973598512067,195,5698
138,0.05,94.45591212494844,2107669.656944822,4.4815330435542376e-05,0.06506206969863561,0.00044814267324546123,194,5555
138,0.06,94.40244816494844,2084158.66377505,4.529523102332174e-05,0.06539098331420391,0.00045294144407367475,193,5400
138,0.07,94.34898420494845,2058721.7134817163,4.582891586905409e-05,0.06575645716930996,0.00045827802866600377,192,5267
138,0.08,94.29552024494845,2028425.8819134303,4.64870425317186e-05,0.06620815554127339,0.00046485896684483506,191,5125
138,0.09,93.28446432618557,2003214.3529892592,4.65673901482303e-05,0.06590913476177757,0.0004656622787503981,189,5001
138,0.1,93.28446432618557,1962671.2051683294,4.7529338628160585e-05,0.06658640171766185,0.0004752812784149569,189,4904
138,0.11,92.27340840742268,1932638.4948993898,4.774478447518779e-05,0.06637449809379636,0.0004774354930027414,187,4808
138,0.12,91.26235248865979,1887758.1136779916,4.834430419205024e-05,0.06642300000748146,0.0004834302377420371,185,4708
138,0.13,91.1019606086598,1866320.7882437278,4.881366653713903e-05,0.06668598597929473,0.00048812358838449036,182,4604
138,0.14,91.1019606086598,1835320.393357871,4.96381781286597e-05,0.0672468240778908,0.0004963682588111899,182,4507
138,0.15,91.1019606086598,1806039.3772247974,5.04429536573279e-05,0.06778976306990855,0.0005044155720773691,182,4414
138,0.16,91.1019606086598,1788602.1236395007,5.0934726848743096e-05,0.06811940603812573,0.0005093330303876124,182,4327
138,0.17,91.04849664865979,1757486.2084454657,5.180609452929599e-05,0.06867945125094374,0.0005180462072302708,181,4241
138,0.18,91.04849664865979,1720163.84283763,5.293013048016616e-05,0.06942052151659862,0.0005292859202721493,181,4152
138,0.19,91.04849664865979,1701598.5576249566,5.3507624486790073e-05,0.0697982003261062,0.0005350605228087964,181,4074
138,0.2,91.04849664865979,1676647.2009992483,5.4303908773650596e-05,0.070315640194674,0.0005430228942642798,181,3995
138,0.21,91.04849664865979,1650118.1106891371,5.51769573698184e-05,0.07087862172876357,0.000551752855364728,181,3921
