relative_path	size_bytes	sha256
README.md	1832	1e0a072117cd9d66960768ed204dca04c653a54c79d867c2552c7001982a1ccf
evidence/40J7M_R1_design/40J7M_replication_design_summary.json	919	17e521ad00a1650de90137f1654ab72582224c0d7522fc8936865c7acf948374
evidence/40J7M_R1_design/README.md	1169	8ae3de3621c78c4f9801f10513a32be8b93d8e61a7888b9fbdef26eda68d1810
evidence/40J7M_R1_design/SHA256SUMS	789	ff922cdc264bdede86a0dea907642d8c73800fe4ef3e8436e853fad8842f4da2
evidence/40J7M_R1_design/artifact_manifest.tsv	742	fea412af63da1da81c680ef30528171d1cbcbd34f68925c36c48821f92ccdbdb
evidence/40J7M_R1_design/bounded_multifile_replication_contract.json	3818	b5b0c6ba4c8d2d837ee88ad61142ac4fd6f31fff0022aa3bb9ee5c278549f5d1
evidence/40J7M_R1_design/bounded_replication_selected_files.tsv	3522	d76eaea212db007268abca047545afa93646e7c00516af6d823d7e465e4b5817
evidence/40J7M_R1_design/cumulative_lane_design.tsv	433	ffc986a3fdda786009392b347ab6b526156d9c70ea8ed78491693646fbc64f37
evidence/40J7M_R1_design/replication_candidate_audit.tsv	8571	5a36e19d07c5084e83d8cca738e9c97cd64af69a2fb696b218e9c02c9d437e0e
evidence/40J7M_R1_design/replication_resource_budget.json	658	f307ed7dc43404e3e9284f723af480160f53c3ea264528b830ef74c4ccc603c7
evidence/review/40J7M_R1_replication_design_review.json	3185	b5c6ed8410664024ca411be29f0e7aed0e052d5c25ec8eb62809a4928a6a50b1
phase3_inventory_constrained_multifile_replication_freeze_contract.json	4301	5e97a32477df31aa2b1f5703a503b750871cbddc475a571d91d5d7dfd7541410
