member_index	sample_class	stratum	candidate_rows	fold	weight_eligibility	candidate_bearing_members_in_stratum	hierarchical_stratum_fraction	hierarchical_member_fraction	per_row_raw_weight	per_row_training_weight	aggregate_raw_weight	aggregate_training_weight	status
18	signal	ggf_hh4b	74	1	candidate_bearing_member	80	0.25	0.003125	4.222972972972973e-05	2.4208614864864866	0.003125	179.14375	pass
19	signal	ggf_hh4b	74	2	candidate_bearing_member	80	0.25	0.003125	4.222972972972973e-05	2.4208614864864866	0.003125	179.14375	pass
20	signal	ggf_hh4b	58	3	candidate_bearing_member	80	0.25	0.003125	5.387931034482759e-05	3.0886853448275864	0.003125	179.14375	pass
21	signal	ggf_hh4b	64	0	candidate_bearing_member	80	0.25	0.003125	4.8828125e-05	2.79912109375	0.003125	179.14375	pass
22	signal	ggf_hh4b	47	3	candidate_bearing_member	80	0.25	0.003125	6.648936170212766e-05	3.8115691489361705	0.003125	179.14375	pass
23	signal	ggf_hh4b	54	4	candidate_bearing_member	80	0.25	0.003125	5.787037037037037e-05	3.3174768518518523	0.003125	179.14375	pass
24	signal	ggf_hh4b	43	4	candidate_bearing_member	80	0.25	0.003125	7.267441860465116e-05	4.166133720930233	0.003125	179.14375	pass
25	signal	ggf_hh4b	74	3	candidate_bearing_member	80	0.25	0.003125	4.222972972972973e-05	2.4208614864864866	0.003125	179.14375	pass
26	signal	ggf_hh4b	63	3	candidate_bearing_member	80	0.25	0.003125	4.96031746031746e-05	2.8435515873015875	0.003125	179.14375	pass
27	signal	ggf_hh4b	54	3	candidate_bearing_member	80	0.25	0.003125	5.787037037037037e-05	3.3174768518518523	0.003125	179.14375	pass
28	signal	ggf_hh4b	68	4	candidate_bearing_member	80	0.25	0.003125	4.5955882352941176e-05	2.634466911764706	0.003125	179.14375	pass
29	signal	ggf_hh4b	58	0	candidate_bearing_member	80	0.25	0.003125	5.387931034482759e-05	3.0886853448275864	0.003125	179.14375	pass
30	signal	ggf_hh4b	75	2	candidate_bearing_member	80	0.25	0.003125	4.166666666666667e-05	2.3885833333333335	0.003125	179.14375	pass
31	signal	ggf_hh4b	55	1	candidate_bearing_member	80	0.25	0.003125	5.681818181818182e-05	3.257159090909091	0.003125	179.14375	pass
32	signal	ggf_hh4b	56	2	candidate_bearing_member	80	0.25	0.003125	5.5803571428571434e-05	3.198995535714286	0.003125	179.14375	pass
33	signal	ggf_hh4b	56	0	candidate_bearing_member	80	0.25	0.003125	5.5803571428571434e-05	3.198995535714286	0.003125	179.14375	pass
34	signal	ggf_hh4b	69	3	candidate_bearing_member	80	0.25	0.003125	4.528985507246377e-05	2.5962862318840583	0.003125	179.14375	pass
35	signal	ggf_hh4b	58	4	candidate_bearing_member	80	0.25	0.003125	5.387931034482759e-05	3.0886853448275864	0.003125	179.14375	pass
36	signal	ggf_hh4b	57	4	candidate_bearing_member	80	0.25	0.003125	5.482456140350877e-05	3.142872807017544	0.003125	179.14375	pass
37	signal	ggf_hh4b	66	4	candidate_bearing_member	80	0.25	0.003125	4.734848484848485e-05	2.7142992424242425	0.003125	179.14375	pass
38	signal	ggf_hh4b	50	1	candidate_bearing_member	80	0.25	0.003125	6.25e-05	3.582875	0.003125	179.14375	pass
39	signal	ggf_hh4b	46	0	candidate_bearing_member	80	0.25	0.003125	6.793478260869565e-05	3.894429347826087	0.003125	179.14375	pass
40	signal	ggf_hh4b	67	1	candidate_bearing_member	80	0.25	0.003125	4.664179104477612e-05	2.673787313432836	0.003125	179.14375	pass
41	signal	ggf_hh4b	62	2	candidate_bearing_member	80	0.25	0.003125	5.040322580645161e-05	2.8894153225806454	0.003125	179.14375	pass
42	signal	ggf_hh4b	57	1	candidate_bearing_member	80	0.25	0.003125	5.482456140350877e-05	3.142872807017544	0.003125	179.14375	pass
43	signal	ggf_hh4b	59	1	candidate_bearing_member	80	0.25	0.003125	5.296610169491526e-05	3.036334745762712	0.003125	179.14375	pass
44	signal	ggf_hh4b	55	4	candidate_bearing_member	80	0.25	0.003125	5.681818181818182e-05	3.257159090909091	0.003125	179.14375	pass
45	signal	ggf_hh4b	67	3	candidate_bearing_member	80	0.25	0.003125	4.664179104477612e-05	2.673787313432836	0.003125	179.14375	pass
46	signal	ggf_hh4b	52	3	candidate_bearing_member	80	0.25	0.003125	6.009615384615385e-05	3.4450721153846158	0.003125	179.14375	pass
47	signal	ggf_hh4b	54	0	candidate_bearing_member	80	0.25	0.003125	5.787037037037037e-05	3.3174768518518523	0.003125	179.14375	pass
48	signal	ggf_hh4b	70	2	candidate_bearing_member	80	0.25	0.003125	4.464285714285714e-05	2.5591964285714286	0.003125	179.14375	pass
49	signal	ggf_hh4b	63	2	candidate_bearing_member	80	0.25	0.003125	4.96031746031746e-05	2.8435515873015875	0.003125	179.14375	pass
50	signal	ggf_hh4b	58	1	candidate_bearing_member	80	0.25	0.003125	5.387931034482759e-05	3.0886853448275864	0.003125	179.14375	pass
51	signal	ggf_hh4b	77	0	candidate_bearing_member	80	0.25	0.003125	4.0584415584415584e-05	2.3265422077922078	0.003125	179.14375	pass
52	signal	ggf_hh4b	71	1	candidate_bearing_member	80	0.25	0.003125	4.4014084507042256e-05	2.5231514084507043	0.003125	179.14375	pass
53	signal	ggf_hh4b	66	2	candidate_bearing_member	80	0.25	0.003125	4.734848484848485e-05	2.7142992424242425	0.003125	179.14375	pass
54	signal	ggf_hh4b	53	2	candidate_bearing_member	80	0.25	0.003125	5.89622641509434e-05	3.3800707547169813	0.003125	179.14375	pass
55	signal	ggf_hh4b	63	1	candidate_bearing_member	80	0.25	0.003125	4.96031746031746e-05	2.8435515873015875	0.003125	179.14375	pass
56	signal	ggf_hh4b	63	4	candidate_bearing_member	80	0.25	0.003125	4.96031746031746e-05	2.8435515873015875	0.003125	179.14375	pass
57	signal	ggf_hh4b	57	4	candidate_bearing_member	80	0.25	0.003125	5.482456140350877e-05	3.142872807017544	0.003125	179.14375	pass
58	signal	ggf_hh4b	53	2	candidate_bearing_member	80	0.25	0.003125	5.89622641509434e-05	3.3800707547169813	0.003125	179.14375	pass
59	signal	ggf_hh4b	56	2	candidate_bearing_member	80	0.25	0.003125	5.5803571428571434e-05	3.198995535714286	0.003125	179.14375	pass
60	signal	ggf_hh4b	63	3	candidate_bearing_member	80	0.25	0.003125	4.96031746031746e-05	2.8435515873015875	0.003125	179.14375	pass
61	signal	ggf_hh4b	62	1	candidate_bearing_member	80	0.25	0.003125	5.040322580645161e-05	2.8894153225806454	0.003125	179.14375	pass
62	signal	ggf_hh4b	61	3	candidate_bearing_member	80	0.25	0.003125	5.122950819672131e-05	2.9367827868852463	0.003125	179.14375	pass
63	signal	ggf_hh4b	55	3	candidate_bearing_member	80	0.25	0.003125	5.681818181818182e-05	3.257159090909091	0.003125	179.14375	pass
64	signal	ggf_hh4b	64	0	candidate_bearing_member	80	0.25	0.003125	4.8828125e-05	2.79912109375	0.003125	179.14375	pass
65	signal	ggf_hh4b	61	0	candidate_bearing_member	80	0.25	0.003125	5.122950819672131e-05	2.9367827868852463	0.003125	179.14375	pass
66	signal	ggf_hh4b	65	4	candidate_bearing_member	80	0.25	0.003125	4.807692307692308e-05	2.7560576923076923	0.003125	179.14375	pass
67	signal	ggf_hh4b	67	0	candidate_bearing_member	80	0.25	0.003125	4.664179104477612e-05	2.673787313432836	0.003125	179.14375	pass
68	signal	ggf_hh4b	49	1	candidate_bearing_member	80	0.25	0.003125	6.377551020408164e-05	3.655994897959184	0.003125	179.14375	pass
69	signal	ggf_hh4b	52	0	candidate_bearing_member	80	0.25	0.003125	6.009615384615385e-05	3.4450721153846158	0.003125	179.14375	pass
70	signal	ggf_hh4b	74	0	candidate_bearing_member	80	0.25	0.003125	4.222972972972973e-05	2.4208614864864866	0.003125	179.14375	pass
71	signal	ggf_hh4b	58	3	candidate_bearing_member	80	0.25	0.003125	5.387931034482759e-05	3.0886853448275864	0.003125	179.14375	pass
72	signal	ggf_hh4b	58	0	candidate_bearing_member	80	0.25	0.003125	5.387931034482759e-05	3.0886853448275864	0.003125	179.14375	pass
73	signal	ggf_hh4b	44	2	candidate_bearing_member	80	0.25	0.003125	7.102272727272728e-05	4.0714488636363635	0.003125	179.14375	pass
74	signal	ggf_hh4b	53	4	candidate_bearing_member	80	0.25	0.003125	5.89622641509434e-05	3.3800707547169813	0.003125	179.14375	pass
75	signal	ggf_hh4b	69	0	candidate_bearing_member	80	0.25	0.003125	4.528985507246377e-05	2.5962862318840583	0.003125	179.14375	pass
76	signal	ggf_hh4b	63	0	candidate_bearing_member	80	0.25	0.003125	4.96031746031746e-05	2.8435515873015875	0.003125	179.14375	pass
77	signal	ggf_hh4b	55	1	candidate_bearing_member	80	0.25	0.003125	5.681818181818182e-05	3.257159090909091	0.003125	179.14375	pass
78	signal	ggf_hh4b	61	4	candidate_bearing_member	80	0.25	0.003125	5.122950819672131e-05	2.9367827868852463	0.003125	179.14375	pass
79	signal	ggf_hh4b	58	2	candidate_bearing_member	80	0.25	0.003125	5.387931034482759e-05	3.0886853448275864	0.003125	179.14375	pass
80	signal	ggf_hh4b	65	3	candidate_bearing_member	80	0.25	0.003125	4.807692307692308e-05	2.7560576923076923	0.003125	179.14375	pass
81	signal	ggf_hh4b	57	3	candidate_bearing_member	80	0.25	0.003125	5.482456140350877e-05	3.142872807017544	0.003125	179.14375	pass
82	signal	ggf_hh4b	59	2	candidate_bearing_member	80	0.25	0.003125	5.296610169491526e-05	3.036334745762712	0.003125	179.14375	pass
83	signal	ggf_hh4b	60	0	candidate_bearing_member	80	0.25	0.003125	5.208333333333334e-05	2.9857291666666668	0.003125	179.14375	pass
99	signal	vbf_hh4b	612	3	candidate_bearing_member	8	0.25	0.03125	5.1062091503267975e-05	2.92718545751634	0.03125	1791.4375	pass
100	signal	vbf_hh4b	638	3	candidate_bearing_member	8	0.25	0.03125	4.898119122257053e-05	2.8078957680250785	0.03125	1791.4375	pass
101	signal	vbf_hh4b	691	4	candidate_bearing_member	8	0.25	0.03125	4.522431259044862e-05	2.592528943560058	0.03125	1791.4375	pass
102	signal	vbf_hh4b	635	1	candidate_bearing_member	8	0.25	0.03125	4.921259842519685e-05	2.8211614173228345	0.03125	1791.4375	pass
103	signal	vbf_hh4b	605	0	candidate_bearing_member	8	0.25	0.03125	5.165289256198347e-05	2.9610537190082646	0.03125	1791.4375	pass
