process_or_mode	campaigns	generated_events	reference_class	sigma_reference_pb	external_branching_factor	effective_reference_factor_pb	reference_source_contract	perturbative_order	uncertainty_contract	reference_maturity	preflight_candidate_pb	preflight_candidate_superseded	additional_k_factor	filter_efficiency_multiplier	exact_generation_scope_embedded	campaign_denominator_frozen	cross_campaign_process_aggregation_authorized	reference_frozen	physical_weight_application_authorized	physical_yield_calculation_authorized
schannel_single_top	2	30000	authoritative_inclusive_13TeV_NNLO	11.073	1	11.073	LHCTopWG SingleTopNNLORef, s-channel top+antitop, 13 TeV	NNLO_QCD	total +0.193/-0.176 pb	published_recommendation	11.073	False	1	1	False	True	True	True	False	False
tchannel_antitop	2	80000	authoritative_inclusive_13TeV_NNLO	80	1	80	LHCTopWG SingleTopNNLORef, t-channel antitop component, 13 TeV	NNLO_QCD	total +1.8/-1.4 pb	published_recommendation	80	False	1	1	False	True	True	True	False	False
tchannel_top	2	80000	authoritative_inclusive_13TeV_NNLO	134.2	1	134.2	LHCTopWG SingleTopNNLORef, t-channel top component, 13 TeV	NNLO_QCD	total +2.6/-1.7 pb	published_recommendation	134.2	False	1	1	False	True	True	True	False	False
ttbar_inclusive	4	1020000	authoritative_inclusive_13TeV_NNLO_NNLL	833.9	1	833.9	LHCTopWG TtbarNNLO updated 13 TeV Top++ v2.0 recommendation	NNLO_QCD_plus_NNLL	scale +20.5/-30.0 pb; PDF+alphaS +/-21.0 pb	published_updated_recommendation	832	True	1	1	False	True	True	True	False	False
tttt	2	40000	authoritative_inclusive_13TeV_NLO_NLLprime	0.01015	1	0.01015	LHCTopWG FourTopReferenceCrossSections, 13 TeV	NLO_QCD_plus_NLLprime	scale +0.00297/-0.00241 pb; PDF+alphaS pending on source page	central_and_scale_published_PDF_alphaS_pending	0.01015	False	1	1	False	True	True	True	False	False
ttw	2	60000	generator_fiducial_LO_campaign_mean	0.3539400100708008	1	0.3539400100708008	PN-c6r mean of two exact campaign generator cross-section candidates	generator_LO_exact_production_scope	campaign half-spread diagnostic 0.0003679990768432617 pb; not a theory uncertainty	validated_generator_fiducial_fallback		False	1	1	True	True	True	True	False	False
ttz_zbb	2	40000	generator_fiducial_LO_campaign_mean	0.08497805148363113	1	0.08497805148363113	PN-c6r mean of two exact campaign generator cross-section candidates	generator_LO_exact_production_scope	campaign half-spread diagnostic 0.0001053512096405029 pb; not a theory uncertainty	validated_generator_fiducial_fallback		False	1	1	True	True	True	True	False	False
tw_antitop	2	70000	generator_fiducial_LO_campaign_mean	28.00627994537354	1	28.00627994537354	PN-c6r mean of two exact campaign generator cross-section candidates	generator_LO_exact_production_scope	campaign half-spread diagnostic 0.008429527282714844 pb; not a theory uncertainty	validated_generator_fiducial_fallback		False	1	1	True	True	True	True	False	False
tw_top	2	70000	generator_fiducial_LO_campaign_mean	28.04204940795898	1	28.04204940795898	PN-c6r mean of two exact campaign generator cross-section candidates	generator_LO_exact_production_scope	campaign half-spread diagnostic 0.00724029541015625 pb; not a theory uncertainty	validated_generator_fiducial_fallback		False	1	1	True	True	True	True	False	False
