seed,working_point,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
10,v2_single_seed_best,0.7,0.5,120.50984122913673,572737.2409079967,0.0002104103463537395,0.15923729912321677,0.002104103463537395,200,510,92.77132688955031,205.67800278073176
10,v2_single_seed_next,0.725,0.5,114.7788392881618,494509.4612618089,0.00023210645756966474,0.16322043312996412,0.0023210645756966473,194,444,88.57384148092851,183.70166858318242
10,v2_loose_mid,0.775,0.5,100.89018076434179,357999.52153481264,0.00028181652403278705,0.16861945336184184,0.0028181652403278705,167,326,77.64092520732599,136.33086894974565
10,v2_loose_best_sqrtB,0.8,0.5,86.04731820106113,307834.3745828429,0.0002795247227268457,0.155088209614852,0.002795247227268457,145,276,66.37519195304486,129.96032333689007
10,v2_nominal_balanced,0.825,0.525,72.96850750856638,231062.97804875352,0.0003157948890158001,0.15179947868921123,0.003157948890158001,129,199,56.658218200951396,87.04159909461185
10,v2_multiseed_median_best,0.825,0.55,68.63344478777493,225595.44413793768,0.00030423240615537353,0.14450092750746185,0.003042324061553735,124,191,53.45772634395544,83.70406316319729
10,v2_tighter_qcd,0.85,0.55,49.38189697358241,171099.9010601607,0.00028861440987168756,0.11938311041925052,0.0028861440987168756,96,139,38.89047111771436,57.682725546720754
10,v2_higher_purity,0.875,0.75,21.165733597325087,61112.0195075367,0.00034634321967898316,0.08561897173503777,0.003463432196789831,54,51,17.53060874639019,27.41309074990975
11,v2_single_seed_best,0.7,0.5,126.10088209158008,494712.76635322743,0.0002548971659274776,0.17928401341474587,0.002548971659274776,188,454,99.30071549335932,168.10574618798776
11,v2_single_seed_next,0.725,0.5,118.68365699537327,434256.4521268219,0.0002733031516609739,0.18010168657590497,0.002733031516609739,174,394,93.27338929549477,139.9638934610687
11,v2_loose_mid,0.775,0.5,100.1138962016671,329889.42498281336,0.00030347713088069693,0.17430512895657957,0.0030347713088069695,147,290,78.69365300038477,108.27324290593815
11,v2_loose_best_sqrtB,0.8,0.5,83.04279371350935,268151.85235087574,0.00030968569855280417,0.16036572445801678,0.0030968569855280414,123,237,65.34259151692558,98.69304952833112
11,v2_nominal_balanced,0.825,0.525,70.08733398432052,209841.5258426818,0.00033400125977384003,0.1530008426282448,0.0033400125977384,103,177,55.097158444092905,69.83358213418222
11,v2_multiseed_median_best,0.825,0.55,64.54909935133846,187687.0540332634,0.0003439187624517701,0.148995457535754,0.003439187624517701,97,167,50.87918655005649,62.064975878246784
11,v2_tighter_qcd,0.85,0.55,52.788032201556945,138224.18325769962,0.00038190156713128164,0.14198532397241329,0.003819015671312816,76,113,41.398223099289794,40.345182470607185
11,v2_higher_purity,0.875,0.75,26.06305232144824,41669.25640947807,0.0006254743800880486,0.1276783908653309,0.006254743800880486,42,34,20.72549599830026,18.77627819035362
12,v2_single_seed_best,0.7,0.5,125.59830753410229,468231.1976892445,0.0002682399382056112,0.18354967243685552,0.002682399382056112,199,442,93.90494571260298,212.93601294369822
12,v2_single_seed_next,0.725,0.5,113.44691288510593,395768.56376073643,0.00028664963130747986,0.1803316826059342,0.0028664963130747984,181,379,84.892100513331,209.41631488928397
12,v2_loose_mid,0.775,0.5,90.57283133359212,291255.0864186177,0.00031097424751378523,0.16782675015967152,0.0031097424751378518,146,267,67.8618818231204,150.4642915862535
12,v2_loose_best_sqrtB,0.8,0.5,84.28061420594436,228098.34973034935,0.00036949243300347516,0.1764682668299931,0.0036949243300347517,134,210,63.040102401029976,112.99100445057206
12,v2_nominal_balanced,0.825,0.525,76.3431695286681,150966.50282084732,0.0005056960855698227,0.19648522079444253,0.005056960855698228,118,148,56.90873288781288,72.86720628257129
12,v2_multiseed_median_best,0.825,0.55,71.98487302151494,147560.2154070013,0.0004878338841059965,0.18739439746951508,0.004878338841059964,114,144,53.81716354826498,70.51554460199084
12,v2_tighter_qcd,0.85,0.55,59.905651640235135,124692.78177528005,0.00048042597805056944,0.1696473733366263,0.004804259780505694,97,111,44.90959028295823,56.44060042069535
12,v2_higher_purity,0.875,0.75,26.59757625706998,44622.41968265873,0.0005960585832463584,0.12591153093174634,0.005960585832463584,49,40,20.289307391181293,21.542649128616855
13,v2_single_seed_best,0.7,0.5,130.20490438819496,472143.06569496857,0.00027577425964424686,0.18949184971840985,0.0027577425964424684,188,454,98.55267446629782,192.8362022834534
13,v2_single_seed_next,0.725,0.5,120.13883972642864,419244.87601256237,0.0002865600669209581,0.185545126456643,0.002865600669209581,177,401,91.14219024672427,165.65930479300428
13,v2_loose_mid,0.775,0.5,105.14873210290705,312414.8517402049,0.0003365676488080204,0.18812140106596018,0.003365676488080204,153,281,79.65696872951204,109.54176389422842
13,v2_loose_best_sqrtB,0.8,0.5,97.8009233513872,256903.36979265948,0.0003806914772286559,0.19295589647628325,0.0038069147722865587,143,224,74.13134596663073,82.79821221938846
13,v2_nominal_balanced,0.825,0.525,84.501245068531,170220.79680363066,0.000496421393010003,0.20481266022392225,0.00496421393010003,124,160,64.07678438603813,81.7444255867104
13,v2_multiseed_median_best,0.825,0.55,80.23980487786008,157402.3324579402,0.000509775195988923,0.20224802164106342,0.00509775195988923,120,150,60.97881622186379,77.48272228666636
13,v2_tighter_qcd,0.85,0.55,59.813185433845454,112066.96627048306,0.0005337271760304575,0.1786726687296981,0.005337271760304575,94,100,45.72703966521546,52.14268866777248
13,v2_higher_purity,0.875,0.75,24.61732595667073,35753.052429587246,0.0006885377410824591,0.13019200438466508,0.006885377410824591,47,32,19.33278868172212,17.04244850858413
14,v2_single_seed_best,0.7,0.5,108.07201237354084,531799.00499548,0.00020321965885298978,0.14819702252780606,0.0020321965885298976,163,496,79.2000103262241,190.7498712914947
14,v2_single_seed_next,0.725,0.5,103.43933568927181,449555.8649222444,0.00023009228387480338,0.1542744080890833,0.0023009228387480337,156,416,75.80426965934382,170.535413638579
14,v2_loose_mid,0.775,0.5,92.36821057254029,312907.42613741884,0.0002951934113956604,0.16512567087954821,0.002951934113956604,136,290,67.50804766964241,121.92792214370395
14,v2_loose_best_sqrtB,0.8,0.5,78.969495967204,251040.1563647099,0.000314569179332718,0.15761145116622,0.00314569179332718,122,235,58.03348717965696,93.03408775683184
14,v2_nominal_balanced,0.825,0.525,69.49015026403558,203814.1588650547,0.0003409485908682379,0.15392390591375027,0.0034094859086823788,105,180,50.936112315846316,70.13641191695946
14,v2_multiseed_median_best,0.825,0.55,69.27615792940522,199633.49086010666,0.00034701671363323775,0.15504833007097935,0.003470167136332377,102,176,50.631035752231796,68.66261770518578
14,v2_tighter_qcd,0.85,0.55,61.53125319622013,124978.07235438791,0.0004923363917931304,0.17405193242574626,0.004923363917931304,90,119,44.93769087634477,56.769332230464734
14,v2_higher_purity,0.875,0.75,32.64272912451362,54027.36484396976,0.0006041888072606419,0.14043636130102524,0.006041888072606418,52,54,24.076625561706344,27.201007811500503
15,v2_single_seed_best,0.7,0.5,124.7806798260053,482490.696673657,0.00025861779446993856,0.17963992932825665,0.002586177944699386,193,478,95.64577949947459,273.39305427894465
15,v2_single_seed_next,0.725,0.5,114.7580467659081,412365.3736709699,0.00027829215082805325,0.1787072009162219,0.0027829215082805325,182,397,88.23586411259485,221.98093392643509
15,v2_loose_mid,0.775,0.5,85.71011567830313,288477.2091269587,0.00029711226040245745,0.15957921609199852,0.0029711226040245744,145,276,66.45662732650526,149.96298106038228
