working_point,qcd_threshold,top_threshold,n_seeds,S_over_sqrtB_mean,S_over_sqrtB_std_seed,S_over_B_mean,S_over_B_std_seed,median_background_test_rows,min_background_test_rows,median_neff_background,min_neff_background,median_signal_test_rows,min_signal_test_rows
v2_single_seed_next,0.725,0.5,20,0.18040819643721015,0.013944382359666028,0.00027884440718719194,2.5817530432390157e-05,393.5,334,172.30999159797284,115.04556750989101,179.5,148
v2_loose_mid,0.775,0.5,20,0.1803152141522579,0.01749248402889143,0.00033250726737098235,4.226714709304495e-05,275.5,234,125.07399305145097,91.89657359012178,149.5,120
v2_single_seed_best,0.7,0.5,20,0.1789967366917403,0.014947044312988648,0.0002564160853116578,2.569797388487327e-05,454.0,401,209.6189715117407,124.21593621361389,191.0,163
v2_loose_best_sqrtB,0.8,0.5,20,0.178741431593356,0.01905992797021509,0.0003644272256778334,5.147383191847074e-05,216.0,182,100.98258255474329,71.15016273639486,134.0,112
v2_nominal_balanced,0.825,0.525,20,0.1758575292243613,0.01899294367795427,0.00041809047073027917,6.456127290579712e-05,160.5,132,73.87831803082169,43.69175991369574,111.5,92
v2_multiseed_median_best,0.825,0.55,20,0.1750638793834118,0.019103148040960655,0.0004277880493380688,6.553507222343294e-05,153.5,126,74.87706366161495,41.22210487339293,108.0,90
v2_tighter_qcd,0.85,0.55,20,0.1695417457869079,0.019881860687195205,0.000487811809162023,7.530732355036334e-05,107.0,90,52.598287820851894,27.501594175016024,90.5,75
v2_higher_purity,0.875,0.75,20,0.13293775923566273,0.025824564373989705,0.0006698512222316796,0.00018521992846876466,37.0,29,19.211095333635424,13.916279131917697,47.0,35
