working_point,sample,group,mean_expected_events_450fb,std_expected_events_450fb,median_rows,fraction_within_group
v2_higher_purity,VBF_HH4b_SMnorm,signal,2.155137632404842,0.3818348433298353,30.0,0.08075030784740564
v2_higher_purity,Zbbbb_100k,background,662.3004781237362,197.53649133556385,7.5,0.015884182263715553
v2_higher_purity,ggF_HH4b_SMnorm,signal,24.53377154769908,4.2991854558512825,18.0,0.9192496921525943
v2_higher_purity,qcd_bbbb_iht200to400_combined120k,background,17849.069538667165,4024.1298209181477,12.0,0.42808043049148076
v2_higher_purity,qcd_bbbb_iht400to600_20000,background,3862.4845847643824,1571.0210041662074,6.0,0.09263530853699126
v2_higher_purity,qcd_bbbb_iht600plus_20000,background,642.121673500835,226.25332438114248,5.0,0.015400226988004298
v2_higher_purity,ttbar_200k,background,18679.621718467155,6563.645962220934,6.0,0.4479998517198081
v2_loose_best_sqrtB,VBF_HH4b_SMnorm,signal,5.4500798829765085,0.5672688376356261,72.5,0.062006913230750325
v2_loose_best_sqrtB,Zbbbb_100k,background,4378.10738001262,442.67704027599405,50.0,0.01741379026144718
v2_loose_best_sqrtB,ggF_HH4b_SMnorm,signal,82.44463377088293,7.7344601013087715,61.0,0.9379930867692496
v2_loose_best_sqrtB,qcd_bbbb_iht100to200_20000,background,16582.11624718854,5531.186634270511,1.0,0.06595486801848256
v2_loose_best_sqrtB,qcd_bbbb_iht200to400_combined120k,background,106389.51988613648,17938.98903900718,76.5,0.4231611115275807
v2_loose_best_sqrtB,qcd_bbbb_iht400to600_20000,background,24422.081872543124,3960.55545338178,37.5,0.09713809520019842
v2_loose_best_sqrtB,qcd_bbbb_iht600plus_20000,background,2639.85307701885,644.19087098784,25.0,0.010499936117169815
v2_loose_best_sqrtB,ttbar_200k,background,97004.42993628216,10401.52389161143,29.5,0.3858321988751213
v2_loose_mid,VBF_HH4b_SMnorm,signal,6.087218121385831,0.6168417219248293,81.5,0.06211118126334663
v2_loose_mid,Zbbbb_100k,background,5429.196452043637,537.0795040290067,63.5,0.01769443242060185
v2_loose_mid,ggF_HH4b_SMnorm,signal,91.91797188742264,8.358400851184326,68.5,0.9378888187366534
v2_loose_mid,qcd_bbbb_iht100to200_20000,background,21268.626019065647,7942.872988222691,2.0,0.06931712070056928
v2_loose_mid,qcd_bbbb_iht200to400_combined120k,background,138818.62526109317,17867.824872498524,105.0,0.45242731684145804
v2_loose_mid,qcd_bbbb_iht400to600_20000,background,29790.46246729279,4855.549887902144,45.5,0.0970908548920844
v2_loose_mid,qcd_bbbb_iht600plus_20000,background,3194.6773388213833,747.5061411451585,28.0,0.010411854272859308
v2_loose_mid,ttbar_200k,background,108329.18967962652,11810.37323847375,32.5,0.3530584208724273
v2_multiseed_median_best,VBF_HH4b_SMnorm,signal,4.4757003070454076,0.49834870172581436,57.5,0.062223199075934904
v2_multiseed_median_best,Zbbbb_100k,background,3074.6023781674667,388.0862728729301,35.5,0.016995853483084952
v2_multiseed_median_best,ggF_HH4b_SMnorm,signal,67.45406822805397,6.200751648714928,50.5,0.937776800924065
v2_multiseed_median_best,qcd_bbbb_iht100to200_20000,background,15239.942532404806,4782.0501451792525,1.0,0.08424368373960801
v2_multiseed_median_best,qcd_bbbb_iht200to400_combined120k,background,71088.30183264104,11853.42697678445,52.5,0.39296345143302897
v2_multiseed_median_best,qcd_bbbb_iht400to600_20000,background,17914.605639242785,2832.5243605000933,26.5,0.09902874427401286
v2_multiseed_median_best,qcd_bbbb_iht600plus_20000,background,1968.271982474078,497.3014148173456,17.5,0.0108802564086121
v2_multiseed_median_best,ttbar_200k,background,71617.36362811773,12214.296864168187,21.5,0.3958880106616532
v2_nominal_balanced,VBF_HH4b_SMnorm,signal,4.59275515106404,0.49347962362702874,60.0,0.06182358001310694
v2_nominal_balanced,Zbbbb_100k,background,3247.9342173093983,434.43898180655054,38.0,0.017206460353116217
v2_nominal_balanced,ggF_HH4b_SMnorm,signal,69.69532635586827,6.457003838877261,52.5,0.938176419986893
v2_nominal_balanced,qcd_bbbb_iht100to200_20000,background,14643.617235749049,4330.5885354219945,1.0,0.07757694661742685
v2_nominal_balanced,qcd_bbbb_iht200to400_combined120k,background,73045.48568051083,11862.782525335535,53.5,0.38697035384448486
v2_nominal_balanced,qcd_bbbb_iht400to600_20000,background,18545.05998546455,3068.0356259296595,27.5,0.09824547482688772
v2_nominal_balanced,qcd_bbbb_iht600plus_20000,background,2026.1346032011065,523.8306690404673,18.5,0.010733777960853227
v2_nominal_balanced,ttbar_200k,background,77254.25345218816,12120.394988904694,24.0,0.40926698639723114
v2_single_seed_best,VBF_HH4b_SMnorm,signal,7.609342644069036,0.6340129015503041,100.0,0.060832431372543065
v2_single_seed_best,Zbbbb_100k,background,9196.52390452875,713.6139846663416,104.5,0.018610454204176535
v2_single_seed_best,ggF_HH4b_SMnorm,signal,117.47759654908543,9.708008903645498,88.0,0.939167568627457
v2_single_seed_best,qcd_bbbb_iht100to200_20000,background,27952.339918604463,19006.689159672114,1.0,0.05656547488541763
v2_single_seed_best,qcd_bbbb_iht200to400_combined120k,background,260755.19679987725,21939.39646119082,191.0,0.527674662614148
v2_single_seed_best,qcd_bbbb_iht400to600_20000,background,46030.418555585195,5893.019751486537,70.5,0.09314899905886695
v2_single_seed_best,qcd_bbbb_iht600plus_20000,background,5267.1695211729075,998.0384114601293,47.0,0.010658855256294342
v2_single_seed_best,ttbar_200k,background,144957.37631021097,16416.647873546433,44.5,0.29334155398109657
v2_single_seed_next,VBF_HH4b_SMnorm,signal,7.199740455088643,0.7179430071317789,95.5,0.06161053431763997
v2_single_seed_next,Zbbbb_100k,background,7843.719345982373,642.6511186572741,88.0,0.018429105678142123
v2_single_seed_next,ggF_HH4b_SMnorm,signal,109.65917880001112,8.767131692654507,82.0,0.93838946568236
v2_single_seed_next,qcd_bbbb_iht100to200_20000,background,24576.973300027934,14227.947055024364,1.5,0.05774449826880764
v2_single_seed_next,qcd_bbbb_iht200to400_combined120k,background,215786.4387263776,19153.352430358136,159.5,0.5069981354235069
v2_single_seed_next,qcd_bbbb_iht400to600_20000,background,40473.455777695315,5390.863927372184,63.0,0.09509386565045963
v2_single_seed_next,qcd_bbbb_iht600plus_20000,background,4532.791772619046,940.8168655923741,40.0,0.010649960166843187
v2_single_seed_next,ttbar_200k,background,132402.4639168899,15381.523622556182,40.0,0.31108443481224046
v2_tighter_qcd,VBF_HH4b_SMnorm,signal,3.75365426261546,0.46401192589474255,50.0,0.06348579903077782
v2_tighter_qcd,Zbbbb_100k,background,2193.1167436161054,304.71337152142627,25.0,0.016450968622387676
v2_tighter_qcd,ggF_HH4b_SMnorm,signal,55.37223404503101,5.714651464862392,40.0,0.9365142009692221
v2_tighter_qcd,qcd_bbbb_iht100to200_20000,background,13473.081819498242,831.5238813028789,1.0,0.10106404362859826
v2_tighter_qcd,qcd_bbbb_iht200to400_combined120k,background,45785.1260635706,7826.1962255017215,33.0,0.3434425798062804
v2_tighter_qcd,qcd_bbbb_iht400to600_20000,background,12559.818412070426,2795.9456166494506,19.0,0.09421348827020111
v2_tighter_qcd,qcd_bbbb_iht600plus_20000,background,1416.681918266632,403.0699591141427,12.5,0.010626789409705913
v2_tighter_qcd,ttbar_200k,background,57884.492022997794,10483.749543376216,17.0,0.43420213026282667
